district,M_15_19_yr_Volunteer_n,M_15_19_yr_N_a_volunteer_n,M_15_19_yr_Voluntary_work_ns_n,M_15_19_yr_Tot_n,M_20_24_yr_Volunteer_n,M_20_24_yr_N_a_volunteer_n,M_20_24_yr_Voluntary_work_ns_n,M_20_24_yr_Tot_n,M_25_34_yr_Volunteer_n,M_25_34_yr_N_a_volunteer_n,M_25_34_yr_Voluntary_work_ns_n,M_25_34_yr_Tot_n,M_35_44_yr_Volunteer_n,M_35_44_yr_N_a_volunteer_n,M_35_44_yr_Voluntary_work_ns_n,M_35_44_yr_Tot_n,M_45_54_yr_Volunteer_n,M_45_54_yr_N_a_volunteer_n,M_45_54_yr_Voluntary_work_ns_n,M_45_54_yr_Tot_n,M_55_64_yr_Volunteer_n,M_55_64_yr_N_a_volunteer_n,M_55_64_yr_Voluntary_work_ns_n,M_55_64_yr_Tot_n,M_65_74_yr_Volunteer_n,M_65_74_yr_N_a_volunteer_n,M_65_74_yr_Voluntary_work_ns_n,M_65_74_yr_Tot_n,M_75_84_yr_Volunteer_n,M_75_84_yr_N_a_volunteer_n,M_75_84_yr_Voluntary_work_ns_n,M_75_84_yr_Tot_n,M_85ov_Volunteer_n,M_85ov_N_a_volunteer_n,M_85_ov_Voluntary_work_ns_n,M_85ov_Tot_n,M_Tot_Volunteer_n,M_Tot_N_a_volunteer_n,M_Tot_Voluntary_work_ns_n,M_Tot_Tot_n,F_15_19_yr_Volunteer_n,F_15_19_yr_N_a_volunteer_n,F_15_19_yr_Voluntary_work_ns_n,F_15_19_yr_Tot_n,F_20_24_yr_Volunteer_n,F_20_24_yr_N_a_volunteer_n,F_20_24_yr_Voluntary_work_ns_n,F_20_24_yr_Tot_n,F_25_34_yr_Volunteer_n,F_25_34_yr_N_a_volunteer_n,F_25_34_yr_Voluntary_work_ns_n,F_25_34_yr_Tot_n,F_35_44_yr_Volunteer_n,F_35_44_yr_N_a_volunteer_n,F_35_44_yr_Voluntary_work_ns_n,F_35_44_yr_Tot_n,F_45_54_yr_Volunteer_n,F_45_54_yr_N_a_volunteer_n,F_45_54_yr_Voluntary_work_ns_n,F_45_54_yr_Tot_n,F_55_64_yr_Volunteer_n,F_55_64_yr_N_a_volunteer_n,F_55_64_yr_Voluntary_work_ns_n,F_55_64_yr_Tot_n,F_65_74_yr_Volunteer_n,F_65_74_yr_N_a_volunteer_n,F_65_74_yr_Voluntary_work_ns_n,F_65_74_yr_Tot_n,F_75_84_yr_Volunteer_n,F_75_84_yr_N_a_volunteer_n,F_75_84_yr_Voluntary_work_ns_n,F_75_84_yr_Tot_n,F_85ov_Volunteer_n,F_85ov_N_a_volunteer_n,F_85_ov_Voluntary_work_ns_n,F_85ov_Tot_n,F_Tot_Volunteer_n,F_Tot_N_a_volunteer_n,F_Tot_Voluntary_work_ns_n,F_Tot_Tot_n,P_15_19_yr_Volunteer_n,P_15_19_yr_N_a_volunteer_n,P_15_19_yr_Voluntary_work_ns_n,P_15_19_yr_Tot_n,P_20_24_yr_Volunteer_n,P_20_24_yr_N_a_volunteer_n,P_20_24_yr_Voluntary_work_ns_n,P_20_24_yr_Tot_n,P_25_34_yr_Volunteer_n,P_25_34_yr_N_a_volunteer_n,P_25_34_yr_Voluntary_work_ns_n,P_25_34_yr_Tot_n,P_35_44_yr_Volunteer_n,P_35_44_yr_N_a_volunteer_n,P_35_44_yr_Voluntary_work_ns_n,P_35_44_yr_Tot_n,P_45_54_yr_Volunteer_n,P_45_54_yr_N_a_volunteer_n,P_45_54_yr_Voluntary_work_ns_n,P_45_54_yr_Tot_n,P_55_64_yr_Volunteer_n,P_55_64_yr_N_a_volunteer_n,P_55_64_yr_Voluntary_work_ns_n,P_55_64_yr_Tot_n,P_65_74_yr_Volunteer_n,P_65_74_yr_N_a_volunteer_n,P_65_74_yr_Voluntary_work_ns_n,P_65_74_yr_Tot_n,P_75_84_yr_Volunteer_n,P_75_84_yr_N_a_volunteer_n,P_75_84_yr_Voluntary_work_ns_n,P_75_84_yr_Tot_n,P_85ov_Volunteer_n,P_85ov_N_a_volunteer_n,P_85_ov_Voluntary_work_ns_n,P_85ov_Tot_n,P_Tot_Volunteer_n,P_Tot_N_a_volunteer_n,P_Tot_Voluntary_work_ns_n,P_Tot_Tot_n,P_Tot_Tot_total
Box Hill,329.0,2161.0,43.0,2564.0,477.0,3047.0,159.0,3736.0,466.0,5609.0,418.0,6671.0,734.0,4545.0,173.0,5495.0,971.0,4102.0,151.0,5220.0,722.0,3601.0,75.0,4452.0,642.0,2528.0,90.0,3273.0,314.0,1488.0,37.0,2017.0,68.0,799.0,56.0,975.0,4933.0,27730.0,1654.0,34316.0,388.0,2047.0,43.0,2636.0,601.0,2646.0,176.0,3474.0,683.0,5487.0,318.0,6552.0,994.0,4656.0,135.0,5842.0,1191.0,4553.0,97.0,5887.0,779.0,3968.0,94.0,4895.0,721.0,2933.0,102.0,3888.0,445.0,2114.0,83.0,2658.0,92.0,1369.0,124.0,1645.0,6169.0,29729.0,1664.0,37672.0,823.0,4202.0,102.0,5203.0,1126.0,5628.0,380.0,7238.0,1254.0,11052.0,752.0,13220.0,1664.0,9186.0,378.0,11280.0,2212.0,8595.0,319.0,11211.0,1551.0,7535.0,275.0,9403.0,1400.0,5487.0,252.0,7180.0,795.0,3631.0,170.0,4624.0,199.0,2158.0,204.0,2679.0,11115.0,57579.0,3330.0,72029.0,72029.0
Brighton,215.0,1789.0,42.0,2166.0,230.0,1447.0,22.0,1722.0,304.0,2850.0,145.0,3392.0,476.0,3198.0,157.0,3947.0,931.0,3724.0,182.0,4823.0,789.0,3331.0,115.0,4210.0,650.0,2305.0,87.0,3091.0,297.0,1339.0,61.0,1812.0,37.0,564.0,70.0,706.0,4147.0,20554.0,1165.0,25864.0,302.0,1547.0,26.0,1953.0,302.0,1233.0,35.0,1594.0,408.0,3137.0,189.0,3849.0,760.0,3601.0,181.0,4638.0,1259.0,4162.0,171.0,5564.0,989.0,3514.0,92.0,4628.0,723.0,2617.0,114.0,3508.0,352.0,1773.0,146.0,2281.0,53.0,1004.0,134.0,1295.0,5320.0,22657.0,1416.0,29402.0,600.0,3307.0,86.0,4050.0,569.0,2763.0,77.0,3437.0,814.0,6032.0,364.0,7252.0,1297.0,6817.0,413.0,8557.0,2119.0,7843.0,421.0,10434.0,1797.0,6735.0,269.0,8797.0,1395.0,4938.0,250.0,6584.0,683.0,3101.0,217.0,4096.0,120.0,1536.0,221.0,1987.0,9493.0,43175.0,2603.0,55277.0,55277.0
Broadmeadows,92.0,1860.0,130.0,2142.0,111.0,2649.0,339.0,3145.0,404.0,6659.0,816.0,7982.0,483.0,5160.0,517.0,6173.0,315.0,3706.0,330.0,4351.0,191.0,3287.0,242.0,3753.0,97.0,2128.0,94.0,2414.0,68.0,1451.0,113.0,1717.0,7.0,750.0,57.0,868.0,2085.0,27770.0,2907.0,32819.0,93.0,1658.0,78.0,1930.0,266.0,2222.0,144.0,2677.0,540.0,5923.0,551.0,7061.0,543.0,4697.0,375.0,5619.0,360.0,3610.0,253.0,4275.0,209.0,3317.0,184.0,3836.0,113.0,2454.0,122.0,2844.0,69.0,2106.0,139.0,2395.0,8.0,1164.0,137.0,1349.0,2533.0,27082.0,2393.0,32056.0,261.0,3519.0,314.0,4138.0,414.0,4874.0,514.0,5887.0,1053.0,12633.0,1378.0,15033.0,1050.0,9837.0,972.0,11875.0,732.0,7306.0,615.0,8643.0,508.0,6574.0,462.0,7590.0,302.0,4544.0,289.0,5245.0,160.0,3592.0,290.0,4148.0,27.0,1965.0,235.0,2318.0,4635.0,54786.0,5412.0,64868.0,64868.0
Brunswick,71.0,877.0,7.0,1009.0,357.0,2105.0,68.0,2495.0,1155.0,7400.0,368.0,8939.0,847.0,4657.0,228.0,5724.0,650.0,3004.0,84.0,3870.0,445.0,2204.0,85.0,2820.0,366.0,1478.0,56.0,1926.0,120.0,955.0,27.0,1189.0,8.0,392.0,17.0,462.0,4298.0,23027.0,1203.0,28548.0,126.0,788.0,11.0,1075.0,771.0,2419.0,69.0,3274.0,1918.0,7748.0,351.0,9995.0,1133.0,4556.0,160.0,5879.0,819.0,2949.0,84.0,3964.0,652.0,2384.0,40.0,3127.0,540.0,1791.0,64.0,2420.0,150.0,1270.0,39.0,1594.0,28.0,616.0,10.0,724.0,6326.0,24667.0,1231.0,32122.0,252.0,1720.0,20.0,2097.0,1196.0,4422.0,172.0,5813.0,3066.0,15161.0,771.0,18922.0,1956.0,9194.0,446.0,11631.0,1589.0,5958.0,215.0,7796.0,1090.0,4621.0,174.0,5969.0,916.0,3272.0,172.0,4413.0,317.0,2233.0,121.0,2810.0,50.0,1079.0,41.0,1229.0,10607.0,47587.0,2404.0,60652.0,60652.0
Bulleen,150.0,1874.0,30.0,2081.0,272.0,1907.0,34.0,2317.0,319.0,3806.0,123.0,4393.0,511.0,3865.0,140.0,4595.0,535.0,3787.0,88.0,4522.0,450.0,3805.0,50.0,4419.0,433.0,2901.0,53.0,3506.0,413.0,2415.0,97.0,2997.0,53.0,1149.0,51.0,1286.0,3446.0,25628.0,1101.0,30233.0,169.0,1698.0,19.0,1919.0,305.0,1574.0,23.0,2039.0,377.0,3784.0,108.0,4393.0,664.0,4136.0,134.0,4971.0,725.0,4111.0,141.0,5036.0,599.0,4234.0,64.0,5002.0,550.0,3593.0,84.0,4351.0,427.0,2935.0,108.0,3603.0,42.0,1474.0,110.0,1682.0,4174.0,27612.0,1251.0,33091.0,408.0,3575.0,70.0,4115.0,659.0,3535.0,99.0,4357.0,794.0,7616.0,349.0,8831.0,1169.0,8034.0,333.0,9593.0,1288.0,7921.0,266.0,9526.0,1077.0,8052.0,217.0,9413.0,1095.0,6485.0,202.0,7832.0,902.0,5324.0,240.0,6566.0,91.0,2631.0,204.0,3009.0,7660.0,53169.0,2330.0,63249.0,63249.0
Bundoora,179.0,1745.0,67.0,2029.0,228.0,2254.0,159.0,2695.0,354.0,4531.0,252.0,5223.0,443.0,4048.0,136.0,4780.0,570.0,3812.0,73.0,4582.0,313.0,3239.0,105.0,3722.0,325.0,2605.0,60.0,3039.0,174.0,1560.0,45.0,1845.0,19.0,544.0,19.0,629.0,2901.0,24421.0,1293.0,28604.0,214.0,1543.0,40.0,1860.0,321.0,1885.0,102.0,2327.0,416.0,4225.0,176.0,4848.0,722.0,3870.0,109.0,4855.0,644.0,3924.0,91.0,4790.0,440.0,3536.0,71.0,4068.0,412.0,2999.0,75.0,3563.0,170.0,1876.0,25.0,2235.0,33.0,858.0,46.0,968.0,3622.0,24713.0,1167.0,29460.0,478.0,3308.0,117.0,3927.0,556.0,4102.0,339.0,5020.0,813.0,8693.0,493.0,10046.0,1275.0,7977.0,291.0,9605.0,1281.0,7698.0,236.0,9300.0,777.0,6758.0,199.0,7837.0,797.0,5600.0,176.0,6658.0,465.0,3441.0,118.0,4043.0,79.0,1421.0,72.0,1607.0,6606.0,49069.0,2447.0,58078.0,58078.0
Carrum,126.0,1812.0,78.0,2073.0,81.0,1727.0,43.0,1930.0,239.0,4264.0,210.0,4836.0,489.0,4906.0,226.0,5709.0,527.0,4342.0,199.0,5075.0,252.0,3706.0,89.0,4221.0,283.0,2512.0,72.0,2964.0,86.0,1189.0,84.0,1461.0,0.0,313.0,25.0,357.0,2435.0,24914.0,1382.0,28751.0,157.0,1577.0,52.0,1852.0,166.0,1624.0,37.0,1886.0,379.0,4577.0,201.0,5247.0,665.0,5009.0,206.0,5940.0,566.0,4510.0,118.0,5297.0,436.0,3807.0,132.0,4459.0,379.0,2886.0,92.0,3454.0,199.0,1355.0,118.0,1725.0,9.0,608.0,79.0,702.0,3204.0,26009.0,1393.0,30612.0,340.0,3483.0,168.0,3952.0,280.0,3345.0,135.0,3871.0,622.0,8895.0,442.0,9994.0,1256.0,9906.0,477.0,11688.0,1099.0,8806.0,389.0,10339.0,762.0,7544.0,303.0,8672.0,739.0,5397.0,269.0,6413.0,287.0,2555.0,209.0,3175.0,29.0,943.0,128.0,1156.0,5714.0,50937.0,2818.0,59337.0,59337.0
Caulfield,278.0,1370.0,15.0,1702.0,403.0,1766.0,104.0,2380.0,764.0,5386.0,395.0,6592.0,777.0,4132.0,201.0,5159.0,903.0,3155.0,126.0,4206.0,674.0,2621.0,72.0,3475.0,708.0,2355.0,92.0,3161.0,173.0,1147.0,76.0,1464.0,8.0,499.0,27.0,598.0,4861.0,22467.0,1555.0,28784.0,435.0,1233.0,43.0,1733.0,556.0,1763.0,69.0,2507.0,883.0,5580.0,284.0,6784.0,1027.0,4061.0,203.0,5341.0,1047.0,3371.0,87.0,4550.0,802.0,2760.0,67.0,3700.0,779.0,2548.0,116.0,3524.0,246.0,1408.0,67.0,1852.0,20.0,957.0,88.0,1129.0,5923.0,23752.0,1524.0,31217.0,745.0,2587.0,96.0,3505.0,995.0,3548.0,266.0,4871.0,1622.0,10935.0,811.0,13328.0,1787.0,8208.0,476.0,10508.0,1981.0,6460.0,296.0,8859.0,1481.0,5424.0,203.0,7211.0,1482.0,4884.0,287.0,6666.0,490.0,2639.0,159.0,3292.0,74.0,1570.0,155.0,1796.0,10746.0,46213.0,3023.0,60033.0,60033.0
Clarinda,99.0,1844.0,37.0,2083.0,174.0,2213.0,106.0,2607.0,279.0,4775.0,292.0,5459.0,357.0,4390.0,147.0,5017.0,481.0,4016.0,139.0,4679.0,335.0,3708.0,103.0,4270.0,318.0,2937.0,101.0,3459.0,128.0,1768.0,79.0,2096.0,12.0,646.0,37.0,710.0,2629.0,26212.0,1496.0,30315.0,142.0,1659.0,39.0,1949.0,314.0,1756.0,38.0,2180.0,285.0,4321.0,177.0,4822.0,588.0,4355.0,151.0,5172.0,506.0,4295.0,142.0,4987.0,427.0,3859.0,95.0,4491.0,397.0,3368.0,105.0,3954.0,180.0,2052.0,108.0,2443.0,8.0,943.0,45.0,1097.0,3094.0,26648.0,1320.0,31070.0,288.0,3572.0,115.0,4045.0,542.0,3923.0,208.0,4751.0,648.0,9083.0,529.0,10323.0,952.0,8772.0,381.0,10141.0,1018.0,8227.0,344.0,9617.0,833.0,7548.0,261.0,8667.0,779.0,6371.0,260.0,7481.0,384.0,3832.0,208.0,4493.0,39.0,1575.0,112.0,1855.0,5661.0,52867.0,2844.0,61460.0,61460.0
Cranbourne,94.0,2223.0,106.0,2504.0,112.0,2400.0,146.0,2788.0,371.0,6317.0,442.0,7243.0,553.0,6719.0,399.0,7755.0,356.0,4099.0,204.0,4636.0,139.0,2921.0,101.0,3294.0,192.0,1868.0,65.0,2218.0,65.0,932.0,61.0,1132.0,7.0,252.0,22.0,282.0,2295.0,27772.0,1861.0,31971.0,146.0,2037.0,67.0,2417.0,197.0,2306.0,82.0,2670.0,513.0,6984.0,453.0,8095.0,615.0,6422.0,314.0,7443.0,348.0,4018.0,182.0,4652.0,216.0,2945.0,99.0,3347.0,241.0,2243.0,80.0,2633.0,79.0,1107.0,63.0,1356.0,8.0,464.0,50.0,570.0,2773.0,28774.0,1838.0,33445.0,267.0,4297.0,224.0,4953.0,416.0,4739.0,280.0,5536.0,967.0,13336.0,951.0,15272.0,1232.0,13126.0,746.0,15203.0,734.0,8059.0,415.0,9321.0,488.0,5932.0,319.0,6699.0,505.0,4039.0,201.0,4771.0,194.0,2145.0,152.0,2546.0,16.0,817.0,77.0,938.0,5101.0,56502.0,3681.0,65334.0,65334.0
Croydon,141.0,1809.0,21.0,2027.0,103.0,1951.0,55.0,2207.0,482.0,4242.0,168.0,4991.0,561.0,4380.0,130.0,5226.0,634.0,3662.0,110.0,4443.0,531.0,3449.0,104.0,4137.0,534.0,2521.0,81.0,3200.0,275.0,1440.0,78.0,1882.0,25.0,479.0,62.0,647.0,3598.0,23974.0,1133.0,28729.0,206.0,1564.0,41.0,1880.0,268.0,1710.0,40.0,2027.0,537.0,4657.0,176.0,5441.0,874.0,4492.0,143.0,5553.0,821.0,3902.0,119.0,4902.0,574.0,3890.0,75.0,4640.0,732.0,3102.0,83.0,3939.0,295.0,2005.0,155.0,2505.0,20.0,968.0,200.0,1262.0,4562.0,26244.0,1363.0,32224.0,413.0,3381.0,85.0,3956.0,480.0,3507.0,135.0,4161.0,1091.0,8852.0,420.0,10408.0,1531.0,8921.0,348.0,10713.0,1487.0,7616.0,298.0,9381.0,1142.0,7346.0,235.0,8735.0,1180.0,5644.0,224.0,7093.0,688.0,3492.0,257.0,4428.0,70.0,1530.0,300.0,1917.0,8253.0,50228.0,2499.0,60905.0,60905.0
Dandenong,96.0,2180.0,130.0,2477.0,220.0,2728.0,227.0,3241.0,500.0,7520.0,876.0,8804.0,341.0,5930.0,593.0,6968.0,273.0,4557.0,339.0,5267.0,242.0,3903.0,302.0,4559.0,181.0,3090.0,174.0,3554.0,74.0,1856.0,106.0,2188.0,0.0,580.0,33.0,684.0,2374.0,32276.0,3197.0,37861.0,104.0,1958.0,134.0,2322.0,208.0,2476.0,180.0,2951.0,508.0,6381.0,614.0,7493.0,462.0,5188.0,420.0,6154.0,281.0,4015.0,286.0,4729.0,252.0,3873.0,208.0,4522.0,298.0,3304.0,162.0,3929.0,86.0,2165.0,105.0,2517.0,20.0,1059.0,50.0,1195.0,2728.0,30477.0,2666.0,35814.0,256.0,4115.0,359.0,4898.0,478.0,5164.0,487.0,6257.0,1046.0,13831.0,1532.0,16310.0,872.0,11166.0,1042.0,13184.0,650.0,8597.0,708.0,9984.0,551.0,7837.0,567.0,9065.0,567.0,6310.0,377.0,7466.0,236.0,4033.0,275.0,4675.0,28.0,1722.0,105.0,1949.0,5072.0,62697.0,5834.0,73647.0,73647.0
Eildon,163.0,1625.0,165.0,2026.0,112.0,1360.0,82.0,1663.0,288.0,2694.0,192.0,3264.0,523.0,2700.0,240.0,3538.0,777.0,3372.0,330.0,4540.0,940.0,3880.0,301.0,5097.0,1006.0,3127.0,316.0,4488.0,404.0,1642.0,158.0,2294.0,42.0,396.0,18.0,535.0,4463.0,20841.0,2102.0,27455.0,193.0,1355.0,110.0,1770.0,128.0,1142.0,80.0,1445.0,362.0,2653.0,165.0,3302.0,890.0,2691.0,191.0,3814.0,1028.0,3383.0,303.0,4708.0,1137.0,3894.0,291.0,5300.0,1152.0,3117.0,233.0,4484.0,422.0,1462.0,108.0,2093.0,42.0,595.0,51.0,740.0,5430.0,20301.0,2011.0,27767.0,473.0,2996.0,328.0,3800.0,287.0,2533.0,194.0,3059.0,777.0,5326.0,397.0,6605.0,1374.0,5370.0,541.0,7330.0,1793.0,6719.0,654.0,9168.0,2093.0,7665.0,712.0,10475.0,2146.0,6202.0,605.0,8966.0,905.0,3053.0,335.0,4398.0,96.0,1070.0,91.0,1311.0,9959.0,41083.0,4162.0,55186.0,55186.0
Eltham,204.0,1966.0,32.0,2274.0,201.0,1610.0,11.0,1949.0,202.0,2678.0,25.0,3018.0,538.0,3410.0,62.0,4067.0,825.0,3735.0,79.0,4699.0,583.0,3622.0,60.0,4333.0,651.0,2687.0,86.0,3478.0,301.0,1273.0,47.0,1681.0,3.0,311.0,29.0,370.0,3918.0,21335.0,699.0,26032.0,301.0,1737.0,7.0,2087.0,251.0,1458.0,13.0,1722.0,309.0,2693.0,34.0,3105.0,922.0,3492.0,59.0,4576.0,1027.0,3988.0,56.0,5114.0,752.0,4081.0,71.0,4922.0,690.0,3008.0,78.0,3885.0,317.0,1395.0,75.0,1864.0,13.0,536.0,56.0,674.0,4680.0,22319.0,798.0,27881.0,508.0,3739.0,59.0,4351.0,558.0,2993.0,44.0,3610.0,636.0,5280.0,101.0,6077.0,1408.0,6932.0,178.0,8613.0,1907.0,7713.0,163.0,9919.0,1345.0,7739.0,176.0,9279.0,1412.0,5684.0,160.0,7317.0,722.0,2715.0,151.0,3571.0,35.0,889.0,105.0,1098.0,8577.0,43719.0,1530.0,53897.0,53897.0
Essendon,127.0,1627.0,35.0,1883.0,257.0,1929.0,79.0,2326.0,668.0,5104.0,267.0,6033.0,643.0,4195.0,202.0,5123.0,707.0,3708.0,164.0,4622.0,504.0,3154.0,125.0,3899.0,482.0,2198.0,45.0,2758.0,147.0,1067.0,32.0,1301.0,10.0,423.0,19.0,501.0,3655.0,23474.0,1347.0,28551.0,196.0,1462.0,34.0,1725.0,358.0,2004.0,59.0,2484.0,785.0,5320.0,341.0,6484.0,867.0,4266.0,194.0,5396.0,858.0,3965.0,127.0,4964.0,570.0,3463.0,99.0,4140.0,503.0,2353.0,60.0,3019.0,135.0,1317.0,52.0,1605.0,8.0,859.0,40.0,960.0,4432.0,24940.0,1474.0,30871.0,363.0,3006.0,111.0,3547.0,712.0,3999.0,175.0,4944.0,1459.0,10394.0,642.0,12453.0,1505.0,8566.0,440.0,10516.0,1568.0,7665.0,403.0,9596.0,1111.0,6573.0,302.0,8098.0,978.0,4652.0,218.0,5858.0,330.0,2432.0,105.0,2873.0,27.0,1281.0,99.0,1438.0,8107.0,48465.0,2839.0,59405.0,59405.0
Eureka,211.0,1815.0,89.0,2217.0,177.0,1743.0,85.0,2111.0,406.0,4076.0,271.0,4758.0,622.0,3834.0,163.0,4755.0,761.0,3680.0,243.0,4750.0,662.0,3489.0,152.0,4409.0,760.0,2858.0,175.0,3859.0,285.0,1333.0,106.0,1837.0,16.0,343.0,49.0,493.0,4289.0,23205.0,1716.0,29209.0,275.0,1580.0,126.0,2075.0,245.0,1653.0,68.0,2044.0,514.0,4083.0,211.0,4863.0,858.0,3960.0,206.0,5096.0,874.0,3783.0,187.0,4958.0,828.0,3761.0,183.0,4793.0,844.0,2986.0,121.0,4064.0,349.0,1489.0,111.0,2031.0,20.0,742.0,66.0,947.0,5115.0,24010.0,1753.0,30854.0,514.0,3449.0,285.0,4332.0,424.0,3354.0,224.0,4095.0,929.0,8133.0,537.0,9653.0,1617.0,7775.0,469.0,9782.0,1697.0,7444.0,474.0,9637.0,1500.0,7285.0,363.0,9216.0,1658.0,5836.0,380.0,7909.0,670.0,2832.0,297.0,3920.0,64.0,1189.0,153.0,1455.0,9366.0,47258.0,3491.0,60071.0,60071.0
Euroa,133.0,1514.0,160.0,1916.0,95.0,1469.0,99.0,1750.0,304.0,2755.0,321.0,3450.0,465.0,2422.0,314.0,3345.0,654.0,3187.0,358.0,4293.0,852.0,3748.0,439.0,5090.0,1125.0,3362.0,355.0,4958.0,519.0,1792.0,207.0,2665.0,33.0,556.0,28.0,713.0,4492.0,20815.0,2726.0,28049.0,168.0,1226.0,135.0,1638.0,88.0,1128.0,96.0,1383.0,344.0,2736.0,216.0,3394.0,664.0,2510.0,253.0,3580.0,814.0,3265.0,303.0,4409.0,980.0,3850.0,362.0,5260.0,1153.0,3162.0,286.0,4667.0,543.0,1819.0,242.0,2617.0,51.0,826.0,108.0,1155.0,5123.0,20582.0,2408.0,28113.0,342.0,2702.0,408.0,3534.0,232.0,2611.0,212.0,3160.0,769.0,5473.0,611.0,6838.0,1131.0,4982.0,671.0,6852.0,1451.0,6404.0,736.0,8587.0,1855.0,7590.0,863.0,10328.0,2326.0,6530.0,709.0,9607.0,1114.0,3629.0,525.0,5310.0,133.0,1467.0,207.0,1928.0,9595.0,41421.0,5126.0,56152.0,56152.0
Evelyn,215.0,1930.0,46.0,2205.0,158.0,1801.0,31.0,2071.0,425.0,3957.0,136.0,4563.0,631.0,3743.0,123.0,4594.0,647.0,3594.0,125.0,4416.0,510.0,3379.0,74.0,4044.0,497.0,2455.0,46.0,3128.0,295.0,1340.0,55.0,1772.0,23.0,326.0,20.0,423.0,3628.0,22581.0,997.0,27149.0,263.0,1692.0,29.0,2097.0,239.0,1626.0,37.0,1999.0,495.0,3932.0,102.0,4571.0,850.0,3688.0,67.0,4680.0,704.0,3821.0,83.0,4758.0,590.0,3550.0,99.0,4271.0,651.0,2755.0,60.0,3507.0,245.0,1567.0,53.0,1923.0,5.0,582.0,26.0,654.0,4305.0,23246.0,883.0,28429.0,474.0,3576.0,91.0,4301.0,490.0,3449.0,76.0,4009.0,942.0,7857.0,310.0,9085.0,1569.0,7439.0,250.0,9284.0,1384.0,7378.0,282.0,9066.0,1149.0,6924.0,223.0,8390.0,1232.0,5226.0,164.0,6613.0,635.0,2874.0,132.0,3681.0,48.0,992.0,52.0,1138.0,8021.0,45759.0,1921.0,55674.0,55674.0
Footscray,92.0,1147.0,37.0,1381.0,168.0,1947.0,113.0,2355.0,738.0,6947.0,547.0,8253.0,718.0,5601.0,340.0,6763.0,630.0,3803.0,195.0,4750.0,357.0,2838.0,158.0,3358.0,183.0,1759.0,106.0,2092.0,22.0,864.0,56.0,1046.0,0.0,322.0,19.0,391.0,3219.0,25300.0,1964.0,30516.0,109.0,1108.0,26.0,1333.0,288.0,1839.0,106.0,2350.0,988.0,6707.0,468.0,8222.0,897.0,5364.0,250.0,6563.0,806.0,3746.0,168.0,4722.0,453.0,2888.0,99.0,3526.0,241.0,1769.0,83.0,2173.0,47.0,1111.0,80.0,1273.0,0.0,609.0,100.0,710.0,3993.0,25221.0,1698.0,30888.0,235.0,2369.0,105.0,2801.0,573.0,3809.0,259.0,4721.0,1780.0,13701.0,1096.0,16493.0,1612.0,10913.0,677.0,13250.0,1376.0,7585.0,438.0,9430.0,879.0,5742.0,306.0,6938.0,481.0,3601.0,214.0,4349.0,124.0,1958.0,156.0,2289.0,0.0,998.0,140.0,1186.0,7252.0,50550.0,3627.0,61378.0,61378.0
Frankston,90.0,1637.0,88.0,1951.0,142.0,1594.0,81.0,1831.0,317.0,3926.0,354.0,4647.0,409.0,3694.0,262.0,4437.0,455.0,3600.0,321.0,4512.0,374.0,3377.0,236.0,4024.0,361.0,2602.0,138.0,3207.0,178.0,1533.0,111.0,1980.0,36.0,518.0,72.0,700.0,2689.0,22556.0,2089.0,27310.0,162.0,1385.0,91.0,1777.0,185.0,1482.0,87.0,1870.0,442.0,3939.0,306.0,4835.0,637.0,3789.0,249.0,4763.0,673.0,3692.0,261.0,4657.0,537.0,3507.0,164.0,4266.0,553.0,2880.0,129.0,3651.0,257.0,1859.0,170.0,2426.0,34.0,961.0,214.0,1240.0,3741.0,23521.0,2131.0,29365.0,264.0,3065.0,239.0,3670.0,358.0,3086.0,222.0,3746.0,802.0,7868.0,725.0,9449.0,1136.0,7457.0,588.0,9208.0,1183.0,7301.0,642.0,9101.0,958.0,6873.0,497.0,8332.0,1008.0,5498.0,357.0,6920.0,519.0,3400.0,362.0,4367.0,77.0,1508.0,328.0,2006.0,6362.0,46080.0,4203.0,56692.0,56692.0
Geelong,192.0,1562.0,66.0,1938.0,210.0,1915.0,124.0,2356.0,464.0,4542.0,262.0,5349.0,602.0,3613.0,223.0,4429.0,760.0,3346.0,199.0,4435.0,571.0,3267.0,177.0,4069.0,681.0,2651.0,100.0,3441.0,237.0,1471.0,95.0,1844.0,11.0,431.0,68.0,609.0,3949.0,22916.0,1692.0,28489.0,288.0,1475.0,22.0,1866.0,316.0,1836.0,67.0,2306.0,628.0,4577.0,231.0,5461.0,796.0,3693.0,163.0,4838.0,848.0,3631.0,142.0,4697.0,712.0,3742.0,133.0,4544.0,723.0,3057.0,144.0,3891.0,319.0,1881.0,163.0,2398.0,8.0,860.0,169.0,1117.0,4755.0,24663.0,1671.0,31180.0,550.0,2992.0,134.0,3777.0,605.0,3752.0,239.0,4618.0,1113.0,9093.0,524.0,10800.0,1407.0,7427.0,458.0,9315.0,1565.0,7089.0,388.0,9062.0,1266.0,6947.0,365.0,8664.0,1337.0,5695.0,313.0,7428.0,603.0,3246.0,301.0,4240.0,51.0,1376.0,285.0,1799.0,8725.0,47625.0,3354.0,59719.0,59719.0
