district,A_0_4_y_Indigenous_M_n,A_0_4_y_Indigenous_F_n,A_0_4_y_Indigenous_P_n,A_0_4_y_Non_Indigenous_M_n,A_0_4_y_Non_Indigenous_F_n,A_0_4_y_Non_Indigenous_P_n,A_0_4_y_Indig_stat_ns_M_n,A_0_4_y_Indig_stat_ns_F_n,A_0_4_y_Indig_stat_ns_P_n,A_0_4_y_Tot_M_n,A_0_4_y_Tot_F_n,A_0_4_y_Tot_P_n,A_5_9_y_Indigenous_M_n,A_5_9_y_Indigenous_F_n,A_5_9_y_Indigenous_P_n,A_5_9_y_Non_Indigenous_M_n,A_5_9_y_Non_Indigenous_F_n,A_5_9_y_Non_Indigenous_P_n,A_5_9_y_Indig_stat_ns_M_n,A_5_9_y_Indig_stat_ns_F_n,A_5_9_y_Indig_stat_ns_P_n,A_5_9_y_Tot_M_n,A_5_9_y_Tot_F_n,A_5_9_y_Tot_P_n,A_10_14_y_Indigenous_M_n,A_10_14_y_Indigenous_F_n,A_10_14_y_Indigenous_P_n,A_10_14_y_Non_Indig_M_n,A_10_14_y_Non_Indig_F_n,A_10_14_y_Non_Indig_P_n,A_10_14_y_Indig_stat_ns_M_n,A_10_14_y_Indig_stat_ns_F_n,A_10_14_y_Indig_stat_ns_P_n,A_10_14_y_Tot_M_n,A_10_14_y_Tot_F_n,A_10_14_y_Tot_P_n,A_15_19_y_Indigenous_M_n,A_15_19_y_Indigenous_F_n,A_15_19_y_Indigenous_P_n,A_15_19_y_Non_Indig_M_n,A_15_19_y_Non_Indig_F_n,A_15_19_y_Non_Indig_P_n,A_15_19_y_Indig_stat_ns_M_n,A_15_19_y_Indig_stat_ns_F_n,A_15_19_y_Indig_stat_ns_P_n,A_15_19_y_Tot_M_n,A_15_19_y_Tot_F_n,A_15_19_y_Tot_P_n,A_20_24_y_Indigenous_M_n,A_20_24_y_Indigenous_F_n,A_20_24_y_Indigenous_P_n,A_20_24_y_Non_Indig_M_n,A_20_24_y_Non_Indig_F_n,A_20_24_y_Non_Indig_P_n,A_20_24_y_Indig_stat_ns_M_n,A_20_24_y_Indig_stat_ns_F_n,A_20_24_y_Indig_stat_ns_P_n,A_20_24_y_Tot_M_n,A_20_24_y_Tot_F_n,A_20_24_y_Tot_P_n,A_25_29_y_Indigenous_M_n,A_25_29_y_Indigenous_F_n,A_25_29_y_Indigenous_P_n,A_25_29_y_Non_Indig_M_n,A_25_29_y_Non_Indig_F_n,A_25_29_y_Non_Indig_P_n,A_25_29_y_Indig_stat_ns_M_n,A_25_29_y_Indig_stat_ns_F_n,A_25_29_y_Indig_stat_ns_P_n,A_25_29_y_Tot_M_n,A_25_29_y_Tot_F_n,A_25_29_y_Tot_P_n,A_30_34_y_Indigenous_M_n,A_30_34_y_Indigenous_F_n,A_30_34_y_Indigenous_P_n,A_30_34_y_Non_Indig_M_n,A_30_34_y_Non_Indig_F_n,A_30_34_y_Non_Indig_P_n,A_30_34_y_Indig_stat_ns_M_n,A_30_34_y_Indig_stat_ns_F_n,A_30_34_y_Indig_stat_ns_P_n,A_30_34_y_Tot_M_n,A_30_34_y_Tot_F_n,A_30_34_y_Tot_P_n,A_35_39_y_Indigenous_M_n,A_35_39_y_Indigenous_F_n,A_35_39_y_Indigenous_P_n,A_35_39_y_Non_Indig_M_n,A_35_39_y_Non_Indig_F_n,A_35_39_y_Non_Indig_P_n,A_35_39_y_Indig_stat_ns_M_n,A_35_39_y_Indig_stat_ns_F_n,A_35_39_y_Indig_stat_ns_P_n,A_35_39_y_Tot_M_n,A_35_39_y_Tot_F_n,A_35_39_y_Tot_P_n,A_40_44_y_Indigenous_M_n,A_40_44_y_Indigenous_F_n,A_40_44_y_Indigenous_P_n,A_40_44_y_Non_Indig_M_n,A_40_44_y_Non_Indig_F_n,A_40_44_y_Non_Indig_P_n,A_40_44_y_Indig_stat_ns_M_n,A_40_44_y_Indig_stat_ns_F_n,A_40_44_y_Indig_stat_ns_P_n,A_40_44_y_Tot_M_n,A_40_44_y_Tot_F_n,A_40_44_y_Tot_P_n,A_45_49_y_Indigenous_M_n,A_45_49_y_Indigenous_F_n,A_45_49_y_Indigenous_P_n,A_45_49_y_Non_Indig_M_n,A_45_49_y_Non_Indig_F_n,A_45_49_y_Non_Indig_P_n,A_45_49_y_Indig_stat_ns_M_n,A_45_49_y_Indig_stat_ns_F_n,A_45_49_y_Indig_stat_ns_P_n,A_45_49_y_Tot_M_n,A_45_49_y_Tot_F_n,A_45_49_y_Tot_P_n,A_50_54_y_Indigenous_M_n,A_50_54_y_Indigenous_F_n,A_50_54_y_Indigenous_P_n,A_50_54_y_Non_Indig_M_n,A_50_54_y_Non_Indig_F_n,A_50_54_y_Non_Indig_P_n,A_50_54_y_Indig_stat_ns_M_n,A_50_54_y_Indig_stat_ns_F_n,A_50_54_y_Indig_stat_ns_P_n,A_50_54_y_Tot_M_n,A_50_54_y_Tot_F_n,A_50_54_y_Tot_P_n,A_55_59_y_Indigenous_M_n,A_55_59_y_Indigenous_F_n,A_55_59_y_Indigenous_P_n,A_55_59_y_Non_Indig_M_n,A_55_59_y_Non_Indig_F_n,A_55_59_y_Non_Indig_P_n,A_55_59_y_Indig_stat_ns_M_n,A_55_59_y_Indig_stat_ns_F_n,A_55_59_y_Indig_stat_ns_P_n,A_55_59_y_Tot_M_n,A_55_59_y_Tot_F_n,A_55_59_y_Tot_P_n,A_60_64_y_Indigenous_M_n,A_60_64_y_Indigenous_F_n,A_60_64_y_Indigenous_P_n,A_60_64_y_Non_Indig_M_n,A_60_64_y_Non_Indig_F_n,A_60_64_y_Non_Indig_P_n,A_60_64_y_Indig_stat_ns_M_n,A_60_64_y_Indig_stat_ns_F_n,A_60_64_y_Indig_stat_ns_P_n,A_60_64_y_Tot_M_n,A_60_64_y_Tot_F_n,A_60_64_y_Tot_P_n,A_65_y_ov_Indigenous_M_n,A_65_y_ov_Indigenous_F_n,A_65_y_ov_Indigenous_P_n,A_65_y_ov_Non_Indig_M_n,A_65_y_ov_Non_Indig_F_n,A_65_y_ov_Non_Indig_P_n,A_65_y_ov_Indig_stat_ns_M_n,A_65_y_ov_Indig_stat_ns_F_n,A_65_y_ov_Indig_stat_ns_P_n,A_65_y_ov_Tot_M_n,A_65_y_ov_Tot_F_n,A_65_y_ov_Tot_P_n,Tot_Indigenous_M_n,Tot_Indigenous_F_n,Tot_Indigenous_P_n,Tot_Non_Indigenous_M_n,Tot_Non_Indigenous_F_n,Tot_Non_Indigenous_P_n,Tot_Indig_status_ns_M_n,Tot_Indig_status_ns_F_n,Tot_Indig_status_ns_P_n,Tot_Tot_M_n,Tot_Tot_F_n,Tot_Tot_P_n,Tot_Tot_P_total
Box Hill,3.0,0.0,7.0,1827.0,1761.0,3521.0,4.0,17.0,45.0,1846.0,1798.0,3605.0,0.0,5.0,8.0,2201.0,2065.0,4240.0,17.0,23.0,95.0,2289.0,2140.0,4421.0,0.0,3.0,13.0,2319.0,2285.0,4634.0,19.0,31.0,73.0,2378.0,2329.0,4765.0,3.0,0.0,12.0,2492.0,2528.0,5049.0,31.0,35.0,85.0,2564.0,2636.0,5203.0,0.0,4.0,9.0,3556.0,3312.0,6853.0,128.0,138.0,295.0,3736.0,3474.0,7238.0,0.0,0.0,3.0,3359.0,3149.0,6532.0,159.0,118.0,284.0,3531.0,3312.0,6875.0,0.0,0.0,0.0,2909.0,3123.0,6076.0,82.0,87.0,204.0,3052.0,3287.0,6359.0,0.0,0.0,4.0,2811.0,2899.0,5695.0,56.0,48.0,149.0,2915.0,2958.0,5945.0,0.0,0.0,0.0,2495.0,2739.0,5255.0,39.0,34.0,117.0,2542.0,2811.0,5423.0,0.0,0.0,0.0,2549.0,2857.0,5473.0,31.0,38.0,98.0,2637.0,2935.0,5623.0,0.0,0.0,5.0,2508.0,2884.0,5446.0,26.0,22.0,95.0,2574.0,2950.0,5605.0,0.0,0.0,0.0,2221.0,2460.0,4708.0,23.0,24.0,85.0,2307.0,2537.0,4873.0,0.0,0.0,0.0,2028.0,2285.0,4395.0,12.0,7.0,40.0,2093.0,2331.0,4495.0,0.0,0.0,0.0,6022.0,7893.0,13917.0,206.0,281.0,516.0,6253.0,8261.0,14483.0,76.0,107.0,245.0,39361.0,42340.0,81672.0,1383.0,1428.0,2724.0,40888.0,43854.0,84750.0,84750.0
Brighton,0.0,0.0,5.0,1329.0,1376.0,2715.0,6.0,14.0,53.0,1364.0,1464.0,2862.0,0.0,3.0,7.0,1829.0,1616.0,3353.0,32.0,27.0,109.0,1885.0,1718.0,3530.0,0.0,6.0,0.0,2206.0,2053.0,4212.0,38.0,41.0,104.0,2276.0,2100.0,4415.0,4.0,5.0,17.0,2110.0,1895.0,3934.0,23.0,23.0,52.0,2166.0,1953.0,4050.0,4.0,3.0,7.0,1672.0,1543.0,3279.0,19.0,27.0,71.0,1722.0,1594.0,3437.0,0.0,0.0,3.0,1492.0,1722.0,3220.0,37.0,51.0,107.0,1564.0,1819.0,3387.0,0.0,0.0,0.0,1728.0,1973.0,3663.0,41.0,41.0,126.0,1825.0,2044.0,3859.0,0.0,0.0,0.0,1852.0,2258.0,4021.0,60.0,61.0,195.0,1962.0,2361.0,4290.0,0.0,0.0,0.0,1913.0,2164.0,4099.0,48.0,47.0,130.0,1972.0,2229.0,4274.0,0.0,0.0,4.0,2255.0,2682.0,4930.0,54.0,29.0,109.0,2338.0,2746.0,5069.0,0.0,0.0,0.0,2420.0,2734.0,5160.0,52.0,35.0,135.0,2499.0,2802.0,5367.0,0.0,0.0,0.0,2136.0,2445.0,4556.0,49.0,37.0,108.0,2216.0,2461.0,4682.0,0.0,0.0,0.0,1918.0,2063.0,4026.0,25.0,29.0,116.0,1977.0,2114.0,4162.0,0.0,0.0,3.0,5401.0,6716.0,12117.0,145.0,252.0,485.0,5633.0,7040.0,12697.0,40.0,70.0,150.0,30224.0,33158.0,63405.0,1143.0,1277.0,2406.0,31481.0,34511.0,65998.0,65998.0
Broadmeadows,12.0,7.0,23.0,2777.0,2652.0,5433.0,94.0,128.0,297.0,3000.0,2829.0,5794.0,10.0,3.0,31.0,2489.0,2403.0,4852.0,124.0,135.0,316.0,2738.0,2596.0,5303.0,7.0,7.0,14.0,2206.0,1972.0,4243.0,75.0,119.0,302.0,2414.0,2158.0,4626.0,11.0,0.0,32.0,2037.0,1843.0,3795.0,78.0,50.0,216.0,2142.0,1930.0,4138.0,7.0,11.0,32.0,2909.0,2495.0,5497.0,188.0,104.0,329.0,3145.0,2677.0,5887.0,4.0,8.0,21.0,3717.0,3081.0,6795.0,264.0,218.0,483.0,4014.0,3332.0,7415.0,0.0,0.0,0.0,3662.0,3456.0,7062.0,199.0,177.0,454.0,3919.0,3713.0,7575.0,0.0,3.0,15.0,3375.0,3011.0,6348.0,180.0,125.0,403.0,3568.0,3247.0,6809.0,0.0,0.0,3.0,2467.0,2317.0,4767.0,115.0,87.0,260.0,2623.0,2443.0,5129.0,0.0,0.0,0.0,2101.0,1976.0,4045.0,77.0,86.0,208.0,2264.0,2119.0,4413.0,0.0,3.0,8.0,2028.0,2084.0,4035.0,86.0,47.0,189.0,2172.0,2160.0,4332.0,0.0,0.0,3.0,1919.0,1970.0,3919.0,70.0,34.0,168.0,2088.0,2073.0,4133.0,0.0,4.0,4.0,1606.0,1676.0,3297.0,53.0,40.0,123.0,1771.0,1750.0,3480.0,3.0,0.0,5.0,4759.0,6252.0,11028.0,200.0,287.0,577.0,5027.0,6578.0,11684.0,242.0,202.0,517.0,38002.0,37013.0,75046.0,2640.0,2301.0,4966.0,40910.0,39576.0,80538.0,80538.0
Brunswick,4.0,3.0,11.0,1362.0,1319.0,2674.0,13.0,18.0,53.0,1428.0,1374.0,2757.0,4.0,0.0,4.0,1157.0,1124.0,2324.0,24.0,0.0,38.0,1209.0,1177.0,2438.0,0.0,7.0,14.0,1143.0,1083.0,2276.0,10.0,9.0,33.0,1188.0,1118.0,2330.0,5.0,0.0,0.0,975.0,1041.0,2035.0,5.0,11.0,16.0,1009.0,1075.0,2097.0,16.0,13.0,44.0,2407.0,3163.0,5584.0,44.0,52.0,116.0,2495.0,3274.0,5813.0,18.0,20.0,51.0,4212.0,4998.0,9224.0,96.0,100.0,234.0,4420.0,5098.0,9545.0,6.0,3.0,26.0,4398.0,4639.0,8996.0,101.0,151.0,281.0,4526.0,4861.0,9423.0,9.0,3.0,13.0,3207.0,3197.0,6384.0,85.0,56.0,200.0,3325.0,3341.0,6697.0,0.0,0.0,2.0,2294.0,2535.0,4775.0,48.0,16.0,102.0,2410.0,2613.0,4931.0,3.0,0.0,3.0,1955.0,2021.0,3899.0,41.0,29.0,120.0,2033.0,2070.0,4055.0,0.0,0.0,3.0,1741.0,1866.0,3561.0,15.0,27.0,58.0,1824.0,1939.0,3729.0,0.0,0.0,0.0,1388.0,1557.0,2971.0,20.0,6.0,77.0,1450.0,1598.0,3090.0,3.0,0.0,8.0,1231.0,1493.0,2723.0,11.0,9.0,60.0,1321.0,1558.0,2845.0,5.0,3.0,9.0,3467.0,4520.0,8013.0,104.0,143.0,279.0,3620.0,4739.0,8438.0,180.0,219.0,465.0,31127.0,34535.0,65610.0,1080.0,1007.0,2113.0,32396.0,35862.0,68241.0,68241.0
Bulleen,3.0,0.0,6.0,1588.0,1572.0,3254.0,18.0,19.0,63.0,1657.0,1675.0,3349.0,3.0,0.0,3.0,2015.0,1892.0,3915.0,20.0,6.0,41.0,2090.0,1937.0,3986.0,3.0,0.0,3.0,1975.0,1844.0,3766.0,15.0,9.0,51.0,2047.0,1868.0,3901.0,6.0,0.0,6.0,2025.0,1885.0,4031.0,27.0,5.0,48.0,2081.0,1919.0,4115.0,0.0,3.0,9.0,2271.0,1986.0,4238.0,31.0,12.0,58.0,2317.0,2039.0,4357.0,5.0,0.0,5.0,2059.0,2035.0,4104.0,15.0,18.0,68.0,2123.0,2061.0,4177.0,0.0,0.0,0.0,2231.0,2274.0,4468.0,13.0,27.0,98.0,2276.0,2328.0,4604.0,0.0,0.0,0.0,2257.0,2510.0,4789.0,29.0,33.0,105.0,2338.0,2580.0,4918.0,0.0,0.0,0.0,2200.0,2330.0,4452.0,18.0,14.0,54.0,2230.0,2398.0,4594.0,0.0,0.0,0.0,2107.0,2392.0,4436.0,28.0,31.0,97.0,2157.0,2474.0,4558.0,0.0,0.0,0.0,2268.0,2581.0,4893.0,16.0,15.0,62.0,2317.0,2610.0,4990.0,0.0,0.0,0.0,2218.0,2546.0,4783.0,10.0,10.0,54.0,2268.0,2609.0,4898.0,0.0,0.0,6.0,2110.0,2304.0,4398.0,14.0,9.0,44.0,2149.0,2378.0,4482.0,0.0,0.0,0.0,7589.0,9371.0,16951.0,151.0,242.0,478.0,7825.0,9594.0,17454.0,66.0,47.0,151.0,34944.0,37480.0,72438.0,932.0,946.0,1894.0,35992.0,38472.0,74527.0,74527.0
Bundoora,8.0,10.0,29.0,1884.0,1745.0,3633.0,11.0,25.0,63.0,1967.0,1837.0,3818.0,16.0,6.0,31.0,1956.0,1765.0,3676.0,27.0,9.0,36.0,2051.0,1822.0,3804.0,13.0,12.0,38.0,1927.0,1734.0,3613.0,17.0,31.0,81.0,2043.0,1782.0,3788.0,6.0,0.0,24.0,1945.0,1786.0,3771.0,38.0,36.0,85.0,2029.0,1860.0,3927.0,10.0,21.0,52.0,2520.0,2170.0,4673.0,126.0,78.0,251.0,2695.0,2327.0,5020.0,0.0,18.0,24.0,2518.0,2177.0,4606.0,82.0,45.0,157.0,2689.0,2230.0,4958.0,4.0,3.0,13.0,2453.0,2491.0,4964.0,43.0,27.0,103.0,2548.0,2567.0,5128.0,0.0,0.0,4.0,2458.0,2453.0,4850.0,37.0,37.0,105.0,2534.0,2528.0,5045.0,0.0,4.0,8.0,2212.0,2167.0,4332.0,20.0,20.0,75.0,2256.0,2268.0,4530.0,0.0,0.0,0.0,2347.0,2356.0,4634.0,23.0,25.0,78.0,2378.0,2458.0,4785.0,0.0,0.0,0.0,2105.0,2231.0,4345.0,13.0,33.0,72.0,2170.0,2326.0,4517.0,0.0,5.0,5.0,1811.0,1990.0,3820.0,36.0,15.0,69.0,1874.0,2032.0,3929.0,4.0,0.0,7.0,1805.0,1991.0,3760.0,6.0,27.0,63.0,1870.0,2030.0,3880.0,9.0,3.0,19.0,5396.0,6514.0,11954.0,138.0,150.0,384.0,5591.0,6740.0,12309.0,269.0,254.0,566.0,33152.0,33606.0,66768.0,1130.0,1014.0,2121.0,34625.0,34876.0,69522.0,69522.0
Carrum,17.0,24.0,57.0,2458.0,2360.0,4836.0,42.0,45.0,128.0,2563.0,2455.0,5083.0,15.0,3.0,43.0,2456.0,2428.0,4883.0,52.0,75.0,152.0,2572.0,2553.0,5139.0,37.0,19.0,73.0,2226.0,2062.0,4343.0,41.0,42.0,126.0,2384.0,2200.0,4626.0,6.0,21.0,43.0,1950.0,1729.0,3802.0,65.0,30.0,107.0,2073.0,1852.0,3952.0,0.0,21.0,53.0,1850.0,1831.0,3629.0,43.0,31.0,115.0,1930.0,1886.0,3871.0,0.0,16.0,22.0,2189.0,2094.0,4311.0,50.0,57.0,123.0,2299.0,2262.0,4634.0,4.0,5.0,17.0,2406.0,2824.0,5272.0,43.0,50.0,133.0,2548.0,2943.0,5458.0,0.0,0.0,10.0,2781.0,2957.0,5813.0,40.0,60.0,174.0,2927.0,3148.0,6112.0,9.0,7.0,17.0,2656.0,2717.0,5288.0,54.0,40.0,140.0,2808.0,2813.0,5579.0,6.0,4.0,17.0,2520.0,2553.0,5057.0,52.0,14.0,112.0,2617.0,2635.0,5285.0,0.0,9.0,17.0,2336.0,2505.0,4825.0,54.0,46.0,142.0,2428.0,2554.0,5058.0,0.0,0.0,0.0,2114.0,2225.0,4348.0,21.0,37.0,78.0,2183.0,2353.0,4538.0,10.0,4.0,19.0,1895.0,2023.0,3980.0,29.0,19.0,82.0,1997.0,2100.0,4142.0,6.0,7.0,19.0,4627.0,5670.0,10295.0,153.0,215.0,407.0,4845.0,5896.0,10785.0,358.0,339.0,739.0,34584.0,36145.0,70757.0,1318.0,1297.0,2643.0,36313.0,37839.0,74151.0,74151.0
Caulfield,0.0,0.0,0.0,1875.0,1818.0,3746.0,33.0,27.0,69.0,1939.0,1858.0,3900.0,0.0,0.0,5.0,1846.0,1825.0,3701.0,22.0,45.0,77.0,1897.0,1880.0,3828.0,4.0,7.0,11.0,1937.0,1872.0,3785.0,28.0,21.0,77.0,1998.0,1936.0,3897.0,0.0,0.0,0.0,1643.0,1687.0,3363.0,6.0,19.0,56.0,1702.0,1733.0,3505.0,0.0,0.0,0.0,2211.0,2392.0,4604.0,98.0,43.0,192.0,2380.0,2507.0,4871.0,6.0,0.0,6.0,3119.0,3295.0,6417.0,124.0,132.0,329.0,3349.0,3472.0,6846.0,0.0,7.0,7.0,3041.0,3158.0,6238.0,95.0,88.0,266.0,3227.0,3271.0,6576.0,0.0,0.0,1.0,2751.0,2779.0,5530.0,77.0,79.0,202.0,2910.0,2883.0,5785.0,0.0,0.0,0.0,2149.0,2402.0,4568.0,28.0,52.0,125.0,2274.0,2517.0,4763.0,0.0,0.0,0.0,2125.0,2205.0,4323.0,37.0,18.0,105.0,2205.0,2270.0,4487.0,0.0,0.0,0.0,1960.0,2228.0,4179.0,32.0,22.0,83.0,2035.0,2327.0,4301.0,0.0,0.0,4.0,1793.0,1828.0,3556.0,27.0,13.0,78.0,1833.0,1887.0,3697.0,0.0,0.0,0.0,1576.0,1697.0,3344.0,7.0,18.0,36.0,1619.0,1767.0,3442.0,0.0,0.0,0.0,5073.0,6202.0,11295.0,204.0,296.0,550.0,5265.0,6516.0,11814.0,53.0,52.0,146.0,33206.0,35395.0,68625.0,1369.0,1405.0,2806.0,34636.0,37040.0,71543.0,71543.0
Clarinda,3.0,0.0,14.0,1867.0,1814.0,3653.0,15.0,30.0,56.0,1929.0,1883.0,3812.0,5.0,0.0,4.0,2094.0,2018.0,3995.0,24.0,23.0,69.0,2150.0,2083.0,4126.0,6.0,0.0,9.0,2147.0,1930.0,4054.0,25.0,28.0,86.0,2193.0,1984.0,4225.0,0.0,7.0,10.0,2036.0,1909.0,3923.0,17.0,19.0,71.0,2083.0,1949.0,4045.0,4.0,3.0,12.0,2470.0,2060.0,4528.0,47.0,23.0,139.0,2607.0,2180.0,4751.0,0.0,5.0,8.0,2861.0,2319.0,5153.0,112.0,33.0,152.0,2946.0,2387.0,5373.0,0.0,0.0,0.0,2392.0,2389.0,4811.0,47.0,23.0,126.0,2504.0,2457.0,4994.0,0.0,3.0,3.0,2518.0,2562.0,5141.0,29.0,39.0,104.0,2576.0,2694.0,5344.0,0.0,0.0,0.0,2361.0,2380.0,4672.0,34.0,20.0,100.0,2453.0,2453.0,4837.0,0.0,0.0,0.0,2251.0,2410.0,4691.0,45.0,25.0,101.0,2318.0,2461.0,4852.0,0.0,0.0,0.0,2228.0,2449.0,4674.0,12.0,19.0,66.0,2293.0,2507.0,4810.0,0.0,0.0,0.0,2071.0,2193.0,4238.0,28.0,8.0,87.0,2140.0,2253.0,4419.0,0.0,0.0,0.0,1992.0,2155.0,4127.0,20.0,17.0,65.0,2051.0,2247.0,4265.0,0.0,4.0,4.0,6100.0,7236.0,13391.0,122.0,161.0,368.0,6316.0,7487.0,13820.0,57.0,97.0,194.0,35300.0,35893.0,71217.0,1171.0,1036.0,2162.0,36530.0,37070.0,73603.0,73603.0
Cranbourne,47.0,13.0,71.0,3984.0,3683.0,7751.0,108.0,110.0,284.0,4229.0,3887.0,8173.0,9.0,18.0,57.0,3680.0,3572.0,7297.0,162.0,117.0,353.0,3935.0,3773.0,7792.0,11.0,22.0,56.0,2980.0,2743.0,5719.0,97.0,104.0,217.0,3167.0,2898.0,6106.0,13.0,16.0,34.0,2355.0,2251.0,4630.0,70.0,26.0,126.0,2504.0,2417.0,4953.0,17.0,7.0,34.0,2565.0,2570.0,5227.0,98.0,61.0,207.0,2788.0,2670.0,5536.0,3.0,8.0,21.0,3182.0,3356.0,6459.0,121.0,156.0,333.0,3377.0,3561.0,6908.0,8.0,11.0,23.0,3709.0,4258.0,7918.0,114.0,129.0,337.0,3874.0,4526.0,8352.0,4.0,6.0,34.0,4175.0,4154.0,8296.0,127.0,116.0,310.0,4376.0,4349.0,8688.0,0.0,0.0,0.0,3227.0,2971.0,6206.0,102.0,69.0,190.0,3378.0,3130.0,6510.0,11.0,5.0,16.0,2452.0,2363.0,4812.0,32.0,75.0,140.0,2574.0,2510.0,5064.0,4.0,0.0,13.0,1970.0,2068.0,4035.0,66.0,47.0,143.0,2086.0,2175.0,4248.0,0.0,0.0,0.0,1779.0,1720.0,3454.0,31.0,29.0,126.0,1855.0,1783.0,3671.0,0.0,0.0,0.0,1430.0,1503.0,2975.0,27.0,28.0,100.0,1503.0,1553.0,3086.0,0.0,0.0,3.0,3577.0,4407.0,7890.0,115.0,150.0,314.0,3723.0,4607.0,8286.0,368.0,346.0,766.0,40965.0,41753.0,82734.0,1906.0,1808.0,3770.0,43301.0,43932.0,87250.0,87250.0
Croydon,12.0,15.0,29.0,2317.0,2217.0,4584.0,29.0,23.0,80.0,2423.0,2298.0,4717.0,6.0,8.0,18.0,2323.0,2137.0,4464.0,37.0,36.0,84.0,2398.0,2213.0,4664.0,9.0,24.0,41.0,2138.0,1995.0,4112.0,18.0,24.0,103.0,2220.0,2124.0,4290.0,15.0,3.0,38.0,1974.0,1852.0,3807.0,14.0,26.0,66.0,2027.0,1880.0,3956.0,10.0,14.0,30.0,2095.0,1967.0,4019.0,30.0,28.0,69.0,2207.0,2027.0,4161.0,0.0,11.0,15.0,2311.0,2369.0,4706.0,51.0,50.0,121.0,2397.0,2480.0,4903.0,0.0,12.0,4.0,2481.0,2885.0,5336.0,26.0,42.0,142.0,2578.0,2988.0,5526.0,4.0,3.0,11.0,2736.0,3042.0,5716.0,20.0,54.0,115.0,2779.0,3116.0,5902.0,6.0,4.0,10.0,2347.0,2375.0,4744.0,42.0,26.0,82.0,2435.0,2427.0,4907.0,0.0,0.0,10.0,2171.0,2345.0,4523.0,41.0,29.0,87.0,2293.0,2374.0,4660.0,0.0,0.0,4.0,2138.0,2405.0,4571.0,33.0,21.0,100.0,2203.0,2511.0,4756.0,0.0,0.0,0.0,2006.0,2375.0,4349.0,37.0,34.0,85.0,2085.0,2415.0,4485.0,0.0,0.0,0.0,1944.0,2141.0,4132.0,20.0,14.0,94.0,2032.0,2180.0,4290.0,6.0,6.0,21.0,5578.0,7473.0,13002.0,91.0,172.0,334.0,5752.0,7779.0,13408.0,209.0,248.0,520.0,34525.0,37432.0,71993.0,963.0,1040.0,2007.0,35777.0,38785.0,74532.0,74532.0
Dandenong,7.0,10.0,19.0,2686.0,2705.0,5454.0,154.0,140.0,335.0,2981.0,2862.0,5807.0,9.0,13.0,25.0,2573.0,2312.0,4933.0,115.0,94.0,300.0,2751.0,2551.0,5320.0,9.0,4.0,17.0,2315.0,2258.0,4642.0,70.0,100.0,238.0,2523.0,2398.0,4969.0,12.0,3.0,18.0,2336.0,2166.0,4549.0,80.0,86.0,229.0,2477.0,2322.0,4898.0,4.0,8.0,13.0,3012.0,2799.0,5792.0,159.0,114.0,293.0,3241.0,2951.0,6257.0,6.0,7.0,15.0,4337.0,3489.0,7814.0,307.0,196.0,494.0,4713.0,3767.0,8410.0,4.0,0.0,4.0,3879.0,3484.0,7384.0,245.0,176.0,453.0,4208.0,3746.0,7957.0,0.0,0.0,0.0,3547.0,3200.0,6767.0,205.0,134.0,436.0,3783.0,3371.0,7229.0,0.0,0.0,3.0,2933.0,2670.0,5510.0,180.0,86.0,327.0,3179.0,2829.0,5893.0,0.0,0.0,0.0,2623.0,2330.0,4992.0,91.0,75.0,278.0,2802.0,2469.0,5303.0,0.0,0.0,6.0,2366.0,2096.0,4473.0,62.0,63.0,204.0,2497.0,2199.0,4698.0,0.0,0.0,3.0,2228.0,2105.0,4325.0,90.0,59.0,207.0,2390.0,2224.0,4610.0,0.0,0.0,0.0,2040.0,2115.0,4173.0,75.0,68.0,182.0,2216.0,2245.0,4426.0,3.0,9.0,15.0,6132.0,7199.0,13318.0,280.0,281.0,662.0,6463.0,7560.0,14010.0,189.0,200.0,447.0,43012.0,41036.0,84086.0,2840.0,2348.0,5190.0,46059.0,43666.0,89727.0,89727.0
