district,R_1_74_LT_Real_estate_agent_n,R_1_74_LT_Ste_terr_hsg_auth_n,R_1_74_LT_com_hou_pro_n,R_1_74_LT_Psn_not_Sme_hhd_n,R_1_74_LT_Other_Lld_type_n,R_1_74_LT_Lld_type_ns_n,R_1_74_Tot_n,R_75_99_LT_Real_estate_agent_n,R_75_99_LT_Ste_terr_hsg_auth_n,R_75_99_LT_com_hou_pro_n,R_75_99_LT_Psn_not_Sme_hhd_n,R_75_99_LT_Other_Lld_type_n,R_75_99_LT_Lld_type_ns_n,R_75_99_Tot_n,R_100_149_LT_Real_eSte_agent_n,R_100_149_LT_St_ter_hsg_aut_n,R_100_149_LT_com_hou_pro_n,R_100_149_LT_Psn_not_Sme_hhd_n,R_100_149_LT_Other_Lld_type_n,R_100_149_LT_Lld_type_ns_n,R_100_149_Tot_n,R_150_199_LT_Real_eSte_agent_n,R_150_199_LT_Ste_ter_hsg_aut_n,R_150_199_LT_com_hou_pro_n,R_150_199_LT_Psn_not_Sme_hhd_n,R_150_199_LT_Other_Lld_type_n,R_150_199_LT_Lld_type_ns_n,R_150_199_Tot_n,R_200_224_LT_Real_eSte_agent_n,R_200_224_LT_Ste_ter_hsg_aut_n,R_200_224_LT_com_hou_pro_n,R_200_224_LT_Psn_not_Sme_hhd_n,R_200_224_LT_Other_Lld_type_n,R_200_224_LT_Lld_type_ns_n,R_200_224_Tot_n,R_225_274_LT_Real_eSte_agent_n,R_225_274_LT_Ste_ter_hsg_aut_n,R_225_274_LT_com_hou_pro_n,R_225_274_LT_Psn_not_Sme_hhd_n,R_225_274_LT_Other_Lld_type_n,R_225_274_LT_Lld_type_ns_n,R_225_274_Tot_n,R_275_349_LT_Real_eSte_agent_n,R_275_349_LT_Ste_ter_hsg_aut_n,R_275_349_LT_com_hou_pro_n,R_275_349_LT_Psn_not_Sme_hhd_n,R_275_349_LT_Other_Lld_type_n,R_275_349_LT_Lld_type_ns_n,R_275_349_Tot_n,R_350_449_LT_Real_eSte_agent_n,R_350_449_LT_Ste_ter_hsg_aut_n,R_350_449_LT_com_hou_pro_n,R_350_449_LT_Psn_not_Sme_hhd_n,R_350_449_LT_Other_Lld_type_n,R_350_449_LT_Lld_type_ns_n,R_350_449_Tot_n,R_450_549_LT_Real_eSte_agent_n,R_450_549_LT_Ste_ter_hsg_aut_n,R_450_549_LT_com_hou_pro_n,R_450_549_LT_Psn_not_Sme_hhd_n,R_450_549_LT_Other_Lld_type_n,R_450_549_LT_Lld_type_ns_n,R_450_549_Tot_n,R_550_649_LT_Real_eSte_agent_n,R_550_649_LT_Ste_ter_hsg_aut_n,R_550_649_LT_com_hou_pro_n,R_550_649_LT_Psn_not_Sme_hhd_n,R_550_649_LT_Other_Lld_type_n,R_550_649_LT_Lld_type_ns_n,R_550_649_Tot_n,R_650_749_LT_Real_eSte_agent_n,R_650_749_LT_Ste_ter_hsg_aut_n,R_650_749_LT_com_hou_pro_n,R_650_749_LT_Psn_not_Sme_hhd_n,R_650_749_LT_Other_Lld_type_n,R_650_749_LT_Lld_type_ns_n,R_650_749_Tot_n,R_750_849_LT_Real_eSte_agent_n,R_750_849_LT_Ste_ter_hsg_aut_n,R_750_849_LT_com_hou_pro_n,R_750_849_LT_Psn_not_Sme_hhd_n,R_750_849_LT_Other_Lld_type_n,R_750_849_LT_Lld_type_ns_n,R_750_849_Tot_n,R_850_949_LT_Real_estat_agent_n,R_850_949_LT_Ste_ter_hsg_aut_n,R_850_949_LT_com_hou_pro_n,R_850_949_LT_Psn_not_Sme_hhd_n,R_850_949_LT_Other_Lld_type_n,R_850_949_LT_Lld_type_ns_n,R_850_949_Tot_n,R_950_over_LT_Real_eSte_agent_n,R_950_over_LT_Ste_ter_hsg_aut_n,R_950_ovr_LT_com_hou_pro_n,R_950_over_LT_Psn_not_Sme_hhd_n,R_950_over_LT_Other_Lld_type_n,R_950_over_LT_Lld_type_ns_n,R_950_over_Tot_n,Rent_ns_LT_Real_eSte_agent_n,Rent_ns_LT_Ste_ter_hsg_auth_n,Rent_ns_LT_com_hou_pro_n,Rent_ns_LT_Psn_not_Sme_hhd_n,Rent_ns_LT_Other_Lld_type_n,Rent_ns_LT_Lld_type_ns_n,Rent_ns_Tot_n,Tot_LT_Real_eSte_agent_n,Tot_LT_Ste_ter_hsg_auth_n,Tot_LT_com_hou_pro_n,Tot_LT_Psn_not_Sme_hhd_n,Tot_LT_Other_Lld_type_n,Tot_LT_Lld_type_ns_n,Tot_Tot_n,Tot_Tot_total
Box Hill,3.0,14.0,0.0,7.0,0.0,0.0,34.0,0.0,23.0,0.0,0.0,3.0,0.0,26.0,3.0,199.0,22.0,15.0,7.0,0.0,283.0,62.0,57.0,19.0,88.0,9.0,0.0,304.0,93.0,37.0,22.0,23.0,23.0,5.0,246.0,148.0,32.0,20.0,53.0,15.0,0.0,346.0,797.0,12.0,15.0,185.0,3.0,3.0,1156.0,3226.0,27.0,6.0,347.0,40.0,0.0,3746.0,1833.0,0.0,4.0,199.0,13.0,0.0,2139.0,852.0,0.0,0.0,26.0,0.0,0.0,928.0,408.0,0.0,0.0,4.0,3.0,0.0,480.0,140.0,0.0,0.0,3.0,0.0,0.0,164.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,46.0,0.0,0.0,0.0,0.0,0.0,74.0,81.0,24.0,10.0,100.0,14.0,0.0,350.0,8062.0,507.0,177.0,1649.0,264.0,23.0,10836.0,10836.0
Brighton,0.0,9.0,0.0,0.0,0.0,0.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,5.0,126.0,6.0,0.0,0.0,0.0,157.0,9.0,27.0,39.0,13.0,5.0,0.0,112.0,3.0,23.0,11.0,0.0,0.0,0.0,43.0,102.0,9.0,11.0,22.0,0.0,0.0,172.0,722.0,9.0,4.0,57.0,0.0,0.0,826.0,1474.0,0.0,0.0,138.0,0.0,0.0,1680.0,1243.0,0.0,0.0,123.0,0.0,0.0,1478.0,770.0,0.0,0.0,63.0,0.0,0.0,895.0,446.0,0.0,0.0,10.0,0.0,0.0,519.0,321.0,0.0,0.0,15.0,0.0,0.0,395.0,196.0,0.0,0.0,3.0,0.0,0.0,253.0,688.0,0.0,0.0,54.0,0.0,0.0,803.0,111.0,11.0,3.0,17.0,0.0,9.0,244.0,6445.0,320.0,95.0,1044.0,24.0,11.0,8068.0,8068.0
Broadmeadows,0.0,11.0,0.0,0.0,0.0,0.0,23.0,0.0,52.0,0.0,0.0,0.0,0.0,70.0,5.0,318.0,0.0,8.0,10.0,0.0,423.0,24.0,133.0,19.0,29.0,14.0,0.0,332.0,25.0,34.0,20.0,24.0,9.0,0.0,143.0,129.0,76.0,10.0,67.0,83.0,0.0,436.0,1511.0,131.0,8.0,431.0,126.0,4.0,2305.0,3234.0,39.0,6.0,450.0,103.0,0.0,3955.0,733.0,0.0,0.0,56.0,4.0,0.0,887.0,86.0,0.0,0.0,0.0,0.0,5.0,96.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,28.0,65.0,60.0,0.0,79.0,26.0,0.0,400.0,6154.0,1125.0,96.0,1481.0,527.0,33.0,9608.0,9608.0
Brunswick,0.0,25.0,0.0,0.0,0.0,0.0,32.0,0.0,53.0,0.0,3.0,0.0,0.0,68.0,3.0,371.0,25.0,27.0,3.0,0.0,473.0,42.0,82.0,34.0,21.0,0.0,0.0,275.0,41.0,30.0,6.0,40.0,0.0,0.0,186.0,378.0,27.0,4.0,69.0,0.0,0.0,508.0,1506.0,16.0,11.0,271.0,0.0,3.0,1832.0,2994.0,21.0,3.0,343.0,0.0,0.0,3496.0,2232.0,7.0,0.0,369.0,0.0,0.0,2666.0,1587.0,0.0,0.0,200.0,0.0,0.0,1878.0,1069.0,0.0,0.0,104.0,0.0,0.0,1208.0,536.0,0.0,0.0,64.0,0.0,0.0,667.0,231.0,0.0,0.0,19.0,0.0,0.0,257.0,302.0,0.0,0.0,31.0,0.0,0.0,400.0,98.0,48.0,8.0,58.0,3.0,12.0,347.0,11274.0,817.0,136.0,2128.0,37.0,21.0,14587.0,14587.0
Bulleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,12.0,16.0,4.0,0.0,54.0,0.0,0.0,3.0,3.0,0.0,0.0,14.0,21.0,3.0,3.0,18.0,0.0,0.0,89.0,173.0,3.0,18.0,86.0,0.0,0.0,313.0,1481.0,7.0,11.0,167.0,3.0,0.0,1733.0,1365.0,0.0,0.0,142.0,3.0,0.0,1567.0,751.0,0.0,0.0,29.0,0.0,0.0,861.0,366.0,0.0,0.0,6.0,0.0,0.0,389.0,131.0,0.0,0.0,5.0,0.0,0.0,147.0,35.0,0.0,0.0,0.0,0.0,0.0,42.0,38.0,0.0,0.0,0.0,0.0,0.0,74.0,93.0,6.0,3.0,52.0,3.0,0.0,201.0,4758.0,63.0,59.0,894.0,28.0,3.0,5983.0,5983.0
Bundoora,0.0,9.0,0.0,3.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,148.0,0.0,12.0,3.0,0.0,203.0,21.0,41.0,8.0,49.0,0.0,0.0,181.0,20.0,21.0,3.0,4.0,0.0,0.0,72.0,60.0,6.0,22.0,43.0,21.0,0.0,189.0,785.0,7.0,4.0,174.0,24.0,0.0,1056.0,2219.0,13.0,0.0,177.0,20.0,0.0,2546.0,877.0,3.0,0.0,51.0,0.0,0.0,1073.0,215.0,0.0,0.0,7.0,0.0,0.0,264.0,41.0,0.0,0.0,4.0,0.0,0.0,43.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,40.0,3.0,26.0,12.0,0.0,238.0,4648.0,431.0,69.0,974.0,133.0,7.0,6415.0,6415.0
Carrum,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,4.0,0.0,0.0,0.0,10.0,0.0,100.0,10.0,7.0,5.0,0.0,143.0,0.0,39.0,20.0,20.0,24.0,0.0,151.0,9.0,11.0,9.0,21.0,8.0,0.0,82.0,59.0,17.0,13.0,57.0,70.0,0.0,242.0,573.0,6.0,4.0,144.0,56.0,0.0,948.0,2412.0,0.0,0.0,236.0,17.0,3.0,2809.0,993.0,0.0,0.0,37.0,0.0,0.0,1121.0,227.0,0.0,0.0,4.0,0.0,0.0,271.0,110.0,0.0,0.0,0.0,0.0,0.0,124.0,19.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,3.0,0.0,0.0,26.0,61.0,11.0,0.0,19.0,4.0,9.0,211.0,4832.0,327.0,85.0,936.0,226.0,18.0,6482.0,6482.0
Caulfield,0.0,11.0,3.0,0.0,0.0,0.0,36.0,0.0,5.0,9.0,0.0,0.0,0.0,28.0,4.0,88.0,23.0,23.0,0.0,0.0,193.0,51.0,9.0,50.0,44.0,0.0,0.0,195.0,47.0,9.0,9.0,32.0,0.0,0.0,156.0,521.0,0.0,9.0,65.0,0.0,0.0,629.0,1545.0,4.0,0.0,171.0,3.0,0.0,1772.0,2793.0,5.0,0.0,255.0,0.0,0.0,3104.0,1781.0,0.0,0.0,197.0,0.0,0.0,2064.0,934.0,0.0,0.0,76.0,0.0,0.0,1109.0,498.0,0.0,0.0,24.0,0.0,0.0,576.0,284.0,0.0,0.0,28.0,0.0,0.0,379.0,136.0,0.0,0.0,9.0,0.0,0.0,178.0,313.0,0.0,0.0,27.0,0.0,0.0,372.0,113.0,3.0,3.0,44.0,0.0,3.0,285.0,9419.0,212.0,118.0,1692.0,59.0,13.0,11636.0,11636.0
Clarinda,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,8.0,152.0,18.0,17.0,8.0,0.0,248.0,0.0,54.0,21.0,25.0,18.0,0.0,158.0,3.0,17.0,6.0,10.0,8.0,0.0,92.0,78.0,8.0,4.0,38.0,14.0,0.0,181.0,714.0,13.0,0.0,153.0,32.0,0.0,1034.0,1753.0,13.0,0.0,219.0,33.0,0.0,2187.0,911.0,0.0,0.0,55.0,9.0,0.0,1088.0,345.0,0.0,0.0,12.0,0.0,0.0,410.0,108.0,0.0,0.0,0.0,0.0,0.0,116.0,29.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,19.0,35.0,10.0,4.0,66.0,3.0,10.0,262.0,4295.0,472.0,74.0,1071.0,208.0,13.0,6274.0,6274.0
Cranbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,8.0,5.0,0.0,67.0,3.0,36.0,3.0,7.0,0.0,0.0,82.0,4.0,3.0,0.0,5.0,3.0,0.0,48.0,48.0,22.0,0.0,35.0,0.0,0.0,139.0,939.0,29.0,0.0,205.0,12.0,3.0,1295.0,3529.0,0.0,0.0,261.0,28.0,0.0,3939.0,527.0,0.0,0.0,11.0,0.0,0.0,610.0,67.0,0.0,0.0,3.0,0.0,0.0,79.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,75.0,11.0,0.0,13.0,0.0,0.0,182.0,5456.0,240.0,32.0,937.0,126.0,9.0,6961.0,6961.0
