district,M_0_4_yrs_Need_for_assistance_pc,M_0_4_No_need_for_assistance_pc,M_0_4_Need_for_assistance_ns_pc,M_0_4_yrs_Tot_pc,M_5_14_Need_for_assistance_pc,M_5_14_No_need_for_assistance_pc,M_5_14_Need_for_assistance_ns_pc,M_5_14_yrs_Tot_pc,M_15_19_Need_for_assistance_pc,M_15_19_No_need_for_assistnce_pc,M_15_19_Need_for_assistnce_ns_pc,M_15_19_yrs_Tot_pc,M_20_24_Need_for_assistance_pc,M_20_24_No_need_for_assistnce_pc,M_20_24_Need_for_assistnce_ns_pc,M_20_24_yrs_Tot_pc,M_25_34_Need_for_assistance_pc,M_25_34_No_need_for_assistnce_pc,M_25_34_Need_for_assistnce_ns_pc,M_25_34_yrs_Tot_pc,M_35_44_Need_for_assistance_pc,M_35_44_No_need_for_assistnce_pc,M_35_44_Need_for_assistnce_ns_pc,M_35_44_yrs_Tot_pc,M_45_54_Need_for_assistance_pc,M_45_54_No_need_for_assistnce_pc,M_45_54_Need_for_assistnce_ns_pc,M_45_54_yrs_Tot_pc,M_55_64_Need_for_assistance_pc,M_55_64_No_need_for_assistnce_pc,M_55_64_Need_for_assistnce_ns_pc,M_55_64_yrs_Tot_pc,M_65_74_Need_for_assistance_pc,M_65_74_No_need_for_assistnce_pc,M_65_74_Need_for_assistnce_ns_pc,M_65_74_yrs_Tot_pc,M_75_84_Need_for_assistance_pc,M_75_84_No_need_for_assistnce_pc,M_75_84_Need_for_assistnce_ns_pc,M_75_84_yrs_Tot_pc,M_85_over_Need_for_assistance_pc,M_85_ov_No_need_for_assistnce_pc,M_85_ov_Need_for_assistnce_ns_pc,M_85_yrs_over_Tot_pc,M_Tot_Need_for_assistance_pc,M_Tot_No_need_for_assistance_pc,M_Tot_Need_for_assistance_ns_pc,M_Tot_Tot_pc,F_0_4_yrs_Need_for_assistance_pc,F_0_4_No_need_for_assistance_pc,F_0_4_Need_for_assistance_ns_pc,F_0_4_yrs_Tot_pc,F_5_14_Need_for_assistance_pc,F_5_14_No_need_for_assistance_pc,F_5_14_Need_for_assistance_ns_pc,F_5_14_yrs_Tot_pc,F_15_19_Need_for_assistance_pc,F_15_19_No_need_for_assistnce_pc,F_15_19_Need_for_assistnce_ns_pc,F_15_19_yrs_Tot_pc,F_20_24_Need_for_assistance_pc,F_20_24_No_need_for_assistnce_pc,F_20_24_Need_for_assistnce_ns_pc,F_20_24_yrs_Tot_pc,F_25_34_Need_for_assistance_pc,F_25_34_No_need_for_assistnce_pc,F_25_34_Need_for_assistnce_ns_pc,F_25_34_yrs_Tot_pc,F_35_44_Need_for_assistance_pc,F_35_44_No_need_for_assistnce_pc,F_35_44_Need_for_assistnce_ns_pc,F_35_44_yrs_Tot_pc,F_45_54_Need_for_assistance_pc,F_45_54_No_need_for_assistnce_pc,F_45_54_Need_for_assistnce_ns_pc,F_45_54_yrs_Tot_pc,F_55_64_Need_for_assistance_pc,F_55_64_No_need_for_assistnce_pc,F_55_64_Need_for_assistnce_ns_pc,F_55_64_yrs_Tot_pc,F_65_74_Need_for_assistance_pc,F_65_74_No_need_for_assistnce_pc,F_65_74_Need_for_assistnce_ns_pc,F_65_74_yrs_Tot_pc,F_75_84_Need_for_assistance_pc,F_75_84_No_need_for_assistnce_pc,F_75_84_Need_for_assistnce_ns_pc,F_75_84_yrs_Tot_pc,F_85_over_Need_for_assistance_pc,F_85_ov_No_need_for_assistnce_pc,F_85_ov_Need_for_assistnce_ns_pc,F_85_yrs_over_Tot_pc,F_Tot_Need_for_assistance_pc,F_Tot_No_need_for_assistance_pc,F_Tot_Need_for_assistance_ns_pc,F_Tot_Tot_pc,P_0_4_yrs_Need_for_assistance_pc,P_0_4_No_need_for_assistance_pc,P_0_4_Need_for_assistance_ns_pc,P_0_4_yrs_Tot_pc,P_5_14_Need_for_assistance_pc,P_5_14_No_need_for_assistance_pc,P_5_14_Need_for_assistance_ns_pc,P_5_14_yrs_Tot_pc,P_15_19_Need_for_assistance_pc,P_15_19_No_need_for_assistnce_pc,P_15_19_Need_for_assistnce_ns_pc,P_15_19_yrs_Tot_pc,P_20_24_Need_for_assistance_pc,P_20_24_No_need_for_assistnce_pc,P_20_24_Need_for_assistnce_ns_pc,P_20_24_yrs_Tot_pc,P_25_34_Need_for_assistance_pc,P_25_34_No_need_for_assistnce_pc,P_25_34_Need_for_assistnce_ns_pc,P_25_34_yrs_Tot_pc,P_35_44_Need_for_assistance_pc,P_35_44_No_need_for_assistnce_pc,P_35_44_Need_for_assistnce_ns_pc,P_35_44_yrs_Tot_pc,P_45_54_Need_for_assistance_pc,P_45_54_No_need_for_assistnce_pc,P_45_54_Need_for_assistnce_ns_pc,P_45_54_yrs_Tot_pc,P_55_64_Need_for_assistance_pc,P_55_64_No_need_for_assistnce_pc,P_55_64_Need_for_assistnce_ns_pc,P_55_64_yrs_Tot_pc,P_65_74_Need_for_assistance_pc,P_65_74_No_need_for_assistnce_pc,P_65_74_Need_for_assistnce_ns_pc,P_65_74_yrs_Tot_pc,P_75_84_Need_for_assistance_pc,P_75_84_No_need_for_assistnce_pc,P_75_84_Need_for_assistnce_ns_pc,P_75_84_yrs_Tot_pc,P_85_over_Need_for_assistance_pc,P_85_ov_No_need_for_assistnce_pc,P_85_ov_Need_for_assistnce_ns_pc,P_85_yrs_over_Tot_pc,P_Tot_Need_for_assistance_pc,P_Tot_No_need_for_assistance_pc,P_Tot_Need_for_assistance_ns_pc,P_Tot_Tot_pc
Box Hill,0.0001,0.0208,0.0002,0.0218,0.0016,0.0507,0.0009,0.0549,0.0004,0.0288,0.0005,0.0303,0.0003,0.0405,0.0019,0.0441,0.0004,0.0734,0.0042,0.0787,0.0004,0.0611,0.0021,0.0648,0.0005,0.0584,0.0016,0.0616,0.0014,0.0485,0.001,0.0525,0.0022,0.0347,0.0011,0.0386,0.0038,0.0179,0.0003,0.0238,0.0047,0.0053,0.0005,0.0115,0.0217,0.4399,0.0208,0.4825,0.0,0.0205,0.0004,0.0212,0.0004,0.0496,0.001,0.0524,0.0003,0.0292,0.0004,0.0311,0.0,0.0377,0.0017,0.041,0.0004,0.0719,0.0036,0.0773,0.0005,0.0655,0.0018,0.0689,0.0011,0.0653,0.0011,0.0695,0.0015,0.0543,0.0011,0.0578,0.0034,0.0405,0.0011,0.0459,0.0072,0.0225,0.0006,0.0314,0.0104,0.0076,0.0009,0.0194,0.0313,0.4661,0.0196,0.5175,0.0001,0.0405,0.0008,0.0425,0.0028,0.1015,0.0028,0.1081,0.001,0.0583,0.0012,0.0614,0.0006,0.0788,0.0041,0.0854,0.001,0.1449,0.0078,0.156,0.0011,0.1264,0.0041,0.1331,0.0024,0.1245,0.004,0.1323,0.0037,0.1024,0.0028,0.1109,0.0066,0.0734,0.0026,0.0847,0.0118,0.0412,0.0016,0.0546,0.0158,0.0137,0.0015,0.0316,0.0539,0.9053,0.0404,1.0
Brighton,0.0,0.0197,0.0003,0.0207,0.0006,0.0584,0.0022,0.0631,0.0002,0.0306,0.0003,0.0328,0.0,0.0249,0.0007,0.0261,0.0002,0.0477,0.0019,0.0514,0.0003,0.0562,0.0024,0.0598,0.0004,0.0694,0.0026,0.0731,0.0009,0.0598,0.002,0.0638,0.0012,0.043,0.0016,0.0468,0.0029,0.0224,0.0008,0.0275,0.0037,0.0047,0.0006,0.0107,0.0157,0.4389,0.0216,0.477,0.0,0.0211,0.0003,0.0222,0.0001,0.0539,0.0019,0.0567,0.0002,0.0277,0.0003,0.0296,0.0002,0.0234,0.0006,0.0242,0.0002,0.0544,0.0028,0.0583,0.0003,0.0661,0.003,0.0703,0.0005,0.0797,0.0026,0.0843,0.001,0.0655,0.0019,0.0701,0.0021,0.0472,0.0015,0.0532,0.0058,0.0261,0.0014,0.0346,0.01,0.0066,0.0013,0.0196,0.0258,0.4731,0.0234,0.5229,0.0,0.0408,0.0007,0.0434,0.0009,0.1123,0.0049,0.1196,0.0006,0.0585,0.0012,0.0614,0.0004,0.0489,0.0017,0.0521,0.0008,0.1024,0.0053,0.1099,0.001,0.1221,0.0061,0.1297,0.0012,0.1494,0.0061,0.1581,0.0025,0.125,0.0047,0.1333,0.004,0.0903,0.004,0.0998,0.0097,0.0487,0.0027,0.0621,0.0149,0.0128,0.0023,0.0301,0.0429,0.9129,0.0445,1.0
Broadmeadows,0.0002,0.033,0.0022,0.0372,0.0035,0.0539,0.0045,0.064,0.0004,0.024,0.0014,0.0266,0.0004,0.0352,0.0033,0.039,0.0012,0.0879,0.0092,0.0991,0.0022,0.068,0.0061,0.0766,0.0026,0.0469,0.0038,0.054,0.0049,0.0387,0.0028,0.0466,0.0053,0.0219,0.0011,0.03,0.0062,0.0129,0.0009,0.0213,0.0058,0.0033,0.0005,0.0108,0.0387,0.4279,0.0417,0.508,0.0,0.0312,0.0022,0.0351,0.0014,0.052,0.0047,0.0601,0.0002,0.0219,0.0009,0.024,0.0,0.031,0.0017,0.0332,0.0007,0.0794,0.0067,0.0877,0.0015,0.0632,0.0048,0.0698,0.0031,0.0454,0.003,0.0531,0.0058,0.0377,0.0022,0.0476,0.0084,0.0245,0.001,0.0353,0.0121,0.0157,0.0016,0.0297,0.0115,0.004,0.001,0.0167,0.0493,0.4074,0.0354,0.4914,0.0002,0.0655,0.0051,0.0719,0.0058,0.1065,0.0105,0.1225,0.0007,0.0454,0.0034,0.0514,0.0005,0.0653,0.0055,0.0731,0.0024,0.1676,0.0155,0.1867,0.004,0.1311,0.0115,0.1474,0.0066,0.093,0.007,0.1073,0.0113,0.0763,0.0055,0.0942,0.0143,0.0463,0.0027,0.0651,0.0189,0.0287,0.003,0.0515,0.0171,0.0084,0.0018,0.0288,0.088,0.8352,0.0769,1.0
Brunswick,0.0001,0.0201,0.0003,0.0209,0.0009,0.0322,0.0009,0.0353,0.0003,0.0141,0.0001,0.0148,0.0001,0.0345,0.0011,0.0366,0.0005,0.125,0.0048,0.131,0.0004,0.0794,0.0029,0.0839,0.0007,0.0521,0.0015,0.0567,0.0014,0.0373,0.0012,0.0413,0.0019,0.0253,0.0006,0.0282,0.0035,0.0125,0.0004,0.0174,0.0028,0.0021,0.0002,0.0068,0.0185,0.4381,0.0188,0.4747,0.0,0.0194,0.0003,0.0201,0.0,0.0322,0.0004,0.0345,0.0,0.0147,0.0002,0.0158,0.0001,0.046,0.001,0.048,0.0011,0.139,0.0048,0.1465,0.0005,0.0829,0.0021,0.0862,0.0011,0.055,0.0015,0.0581,0.0015,0.0432,0.0008,0.0458,0.0032,0.0306,0.0011,0.0355,0.0062,0.0145,0.0003,0.0234,0.0065,0.0023,0.0001,0.0106,0.0275,0.4793,0.0186,0.5255,0.0001,0.0391,0.0009,0.0404,0.0014,0.0652,0.0018,0.07,0.0003,0.0291,0.0003,0.0307,0.0003,0.0811,0.0024,0.0852,0.0026,0.2635,0.0104,0.2773,0.0013,0.1621,0.0055,0.1704,0.0019,0.1068,0.0035,0.1142,0.0035,0.0795,0.0026,0.0875,0.0057,0.0554,0.0024,0.0647,0.0108,0.0274,0.0011,0.0412,0.0098,0.0049,0.0005,0.018,0.0459,0.9169,0.0372,1.0
Bulleen,0.0001,0.0206,0.0004,0.0222,0.002,0.0504,0.0011,0.0548,0.0002,0.0266,0.0005,0.0279,0.0003,0.0294,0.0006,0.0311,0.0002,0.0564,0.0011,0.0589,0.0003,0.058,0.0013,0.0617,0.0006,0.0578,0.0011,0.0607,0.0011,0.0552,0.0009,0.0593,0.0025,0.0416,0.0007,0.047,0.0067,0.0313,0.0009,0.0402,0.0079,0.0079,0.0006,0.0173,0.0278,0.4375,0.0162,0.4829,0.0,0.0213,0.0006,0.0225,0.0005,0.0487,0.0007,0.0513,0.0001,0.0253,0.0001,0.0257,0.0001,0.0258,0.0003,0.0274,0.0003,0.0563,0.0014,0.0589,0.0002,0.0636,0.002,0.0667,0.0007,0.064,0.0015,0.0676,0.0022,0.0626,0.001,0.0671,0.0047,0.0514,0.001,0.0584,0.0123,0.0332,0.0013,0.0483,0.0135,0.0072,0.0012,0.0226,0.0397,0.4607,0.0173,0.5162,0.0001,0.0425,0.0014,0.0449,0.003,0.0992,0.0027,0.1064,0.0006,0.0528,0.0008,0.0552,0.0006,0.0563,0.0012,0.0585,0.0007,0.1129,0.0032,0.1185,0.001,0.122,0.0038,0.1287,0.0017,0.1215,0.0033,0.1278,0.0042,0.1185,0.0026,0.1263,0.0082,0.0933,0.0025,0.1051,0.0201,0.0648,0.0026,0.0881,0.0214,0.0161,0.0022,0.0404,0.0676,0.8984,0.0342,1.0
Bundoora,0.0003,0.0269,0.0004,0.0283,0.0029,0.0518,0.0011,0.057,0.0007,0.0272,0.0006,0.0292,0.0003,0.0358,0.0022,0.0388,0.0007,0.0695,0.0028,0.0751,0.0008,0.0645,0.0015,0.0688,0.0018,0.0615,0.001,0.0659,0.0021,0.0489,0.0012,0.0535,0.0031,0.0385,0.0008,0.0437,0.0053,0.0193,0.0006,0.0265,0.0044,0.0037,0.0002,0.009,0.0291,0.4486,0.0198,0.498,0.0,0.0248,0.0006,0.0264,0.0009,0.0495,0.0009,0.0528,0.0001,0.0255,0.0006,0.0268,0.0002,0.0304,0.0015,0.0335,0.0004,0.0653,0.002,0.0697,0.0005,0.0663,0.0016,0.0698,0.0019,0.0632,0.0013,0.0689,0.0026,0.0526,0.0009,0.0585,0.0049,0.0443,0.001,0.0512,0.0095,0.0216,0.0001,0.0321,0.0079,0.0048,0.0005,0.0139,0.0348,0.4491,0.0187,0.5017,0.0002,0.0523,0.0017,0.0549,0.0047,0.1008,0.0029,0.1093,0.0011,0.0527,0.0015,0.0565,0.0007,0.0658,0.0043,0.0722,0.0017,0.1358,0.0059,0.1445,0.0022,0.1301,0.0036,0.1382,0.0045,0.1246,0.0031,0.1338,0.0055,0.1019,0.0031,0.1127,0.0096,0.0835,0.0025,0.0958,0.0156,0.0406,0.0013,0.0582,0.0129,0.0088,0.0007,0.0231,0.0642,0.8979,0.0384,1.0
Carrum,0.0001,0.0323,0.0011,0.0346,0.0038,0.06,0.0021,0.0676,0.0007,0.0252,0.001,0.028,0.0003,0.0241,0.0007,0.026,0.0007,0.0608,0.0026,0.0652,0.0008,0.0713,0.0026,0.077,0.0009,0.0639,0.0023,0.0684,0.0016,0.0522,0.0014,0.0569,0.0036,0.0347,0.0009,0.04,0.0026,0.0143,0.0008,0.0197,0.0017,0.0023,0.0,0.0048,0.0242,0.4442,0.0213,0.4897,0.0001,0.032,0.0007,0.0331,0.0015,0.0595,0.0022,0.064,0.0003,0.0238,0.0005,0.025,0.0001,0.0239,0.0004,0.0254,0.0004,0.0659,0.0025,0.0708,0.0008,0.0754,0.0026,0.0801,0.0017,0.0661,0.0015,0.0714,0.0032,0.0531,0.0015,0.0601,0.0047,0.0391,0.001,0.0466,0.0052,0.0163,0.0008,0.0233,0.0055,0.0029,0.0005,0.0095,0.03,0.4599,0.0204,0.5103,0.0005,0.064,0.0024,0.0685,0.006,0.1191,0.0055,0.131,0.0015,0.0491,0.0018,0.0533,0.0007,0.0482,0.0018,0.0522,0.002,0.1265,0.0056,0.1348,0.0023,0.1473,0.0057,0.1576,0.004,0.1296,0.0052,0.1394,0.0057,0.1061,0.0037,0.117,0.0095,0.0744,0.0027,0.0865,0.0089,0.0307,0.0019,0.0428,0.0082,0.0057,0.0007,0.0156,0.0543,0.904,0.0421,1.0
Caulfield,0.0001,0.0257,0.0005,0.0271,0.0012,0.0508,0.0013,0.054,0.0002,0.0229,0.0002,0.0238,0.0003,0.0306,0.0016,0.0333,0.0005,0.0855,0.0046,0.0921,0.0002,0.068,0.0027,0.0721,0.0005,0.0559,0.0016,0.0588,0.0005,0.0457,0.0005,0.0486,0.0021,0.0399,0.0014,0.0442,0.0031,0.0157,0.0004,0.0205,0.0038,0.0034,0.0002,0.0084,0.0188,0.4425,0.0224,0.4841,0.0,0.0249,0.0006,0.026,0.0004,0.051,0.0016,0.0536,0.0002,0.023,0.0005,0.0242,0.0001,0.0327,0.0008,0.035,0.0003,0.0888,0.0041,0.0948,0.0005,0.0703,0.0027,0.0747,0.0005,0.0602,0.0011,0.0636,0.0008,0.0478,0.0013,0.0517,0.0031,0.0428,0.0018,0.0493,0.006,0.0168,0.0006,0.0259,0.0093,0.0044,0.0009,0.0158,0.028,0.4655,0.0231,0.5177,0.0002,0.051,0.0019,0.0545,0.0022,0.1016,0.0037,0.1086,0.0005,0.0465,0.0011,0.049,0.0007,0.0628,0.0036,0.0681,0.0014,0.1748,0.0097,0.1863,0.001,0.1382,0.0063,0.1469,0.0017,0.1163,0.0043,0.1238,0.0024,0.0934,0.0028,0.1008,0.0065,0.0819,0.0038,0.0932,0.0099,0.0336,0.0014,0.046,0.0143,0.009,0.0016,0.0251,0.0458,0.9081,0.0462,1.0
Clarinda,0.0001,0.025,0.0005,0.0262,0.002,0.0534,0.0016,0.0583,0.0006,0.0268,0.0004,0.0283,0.0002,0.0326,0.0017,0.0354,0.0009,0.0683,0.0029,0.0742,0.0007,0.0643,0.0017,0.0682,0.0006,0.0599,0.0013,0.0636,0.0027,0.0512,0.0012,0.058,0.0041,0.0403,0.0013,0.047,0.0069,0.0196,0.0009,0.0285,0.0042,0.004,0.0003,0.0096,0.0295,0.4465,0.0215,0.4963,0.0,0.0239,0.0007,0.0256,0.0007,0.0525,0.0015,0.0559,0.0003,0.025,0.0006,0.0265,0.0,0.0275,0.0003,0.0296,0.0005,0.0623,0.0021,0.0655,0.0006,0.0657,0.0022,0.0703,0.0015,0.0633,0.0017,0.0678,0.004,0.0544,0.0017,0.061,0.0066,0.0447,0.0012,0.0537,0.0104,0.0211,0.0008,0.0332,0.009,0.0044,0.0002,0.0149,0.0385,0.4458,0.0198,0.5036,0.0002,0.0488,0.0017,0.0518,0.003,0.1054,0.0035,0.1138,0.0011,0.0522,0.0015,0.055,0.0004,0.0594,0.0029,0.0645,0.0018,0.1319,0.0057,0.1403,0.0022,0.1299,0.0046,0.1378,0.0031,0.1226,0.0038,0.1307,0.0074,0.106,0.0041,0.1178,0.0122,0.0849,0.0033,0.1016,0.0175,0.0403,0.0025,0.061,0.0135,0.0088,0.0007,0.0252,0.0675,0.8919,0.0407,1.0
Cranbourne,0.0004,0.0447,0.0018,0.0485,0.0044,0.0724,0.0046,0.082,0.0006,0.0256,0.001,0.0287,0.0006,0.0283,0.0016,0.032,0.0009,0.0766,0.0043,0.083,0.0007,0.0833,0.0037,0.0889,0.0012,0.0486,0.0022,0.0531,0.0022,0.0334,0.0011,0.0378,0.0025,0.0207,0.0006,0.0254,0.0028,0.0089,0.0006,0.013,0.0011,0.0017,0.0002,0.0032,0.0244,0.4454,0.0265,0.4963,0.0001,0.0416,0.002,0.0446,0.0017,0.0702,0.0036,0.0768,0.0006,0.025,0.0007,0.0277,0.0002,0.0292,0.0008,0.0306,0.0008,0.0855,0.0046,0.0928,0.001,0.0802,0.0033,0.0853,0.0016,0.0479,0.0018,0.0533,0.0029,0.0334,0.0014,0.0384,0.0041,0.0234,0.0009,0.0302,0.0034,0.01,0.0006,0.0155,0.0031,0.0022,0.0003,0.0065,0.0264,0.4512,0.026,0.5035,0.0006,0.087,0.005,0.0937,0.0072,0.1422,0.0091,0.1581,0.0017,0.0511,0.0022,0.0568,0.0012,0.0584,0.0032,0.0634,0.0025,0.1623,0.0097,0.175,0.0025,0.1632,0.008,0.1742,0.0043,0.0971,0.0047,0.1068,0.0058,0.067,0.0035,0.0768,0.0076,0.0449,0.0022,0.0547,0.0067,0.02,0.0014,0.0292,0.005,0.0043,0.0005,0.0108,0.0509,0.8967,0.0529,1.0
Croydon,0.0002,0.031,0.0004,0.0325,0.0041,0.0557,0.0016,0.0621,0.0006,0.0254,0.0004,0.0272,0.0005,0.0273,0.0007,0.0296,0.0009,0.0626,0.0019,0.067,0.001,0.0666,0.0016,0.0701,0.0015,0.0559,0.0015,0.0596,0.0018,0.0506,0.0013,0.0555,0.0032,0.0381,0.0005,0.0429,0.0045,0.0195,0.0007,0.0253,0.0033,0.0038,0.0003,0.0087,0.0288,0.4351,0.0164,0.48,0.0001,0.0294,0.0004,0.0308,0.0018,0.0536,0.0012,0.0583,0.0006,0.0237,0.0004,0.0252,0.0004,0.0257,0.0003,0.0272,0.0008,0.0688,0.0021,0.073,0.0016,0.07,0.0021,0.0745,0.002,0.0609,0.0015,0.0658,0.0027,0.0563,0.0012,0.0623,0.004,0.0468,0.0008,0.0528,0.0076,0.0243,0.0008,0.0336,0.0082,0.0057,0.0014,0.0169,0.036,0.4665,0.0179,0.5204,0.0002,0.0605,0.0013,0.0633,0.0071,0.1088,0.0039,0.1202,0.0016,0.0484,0.0014,0.0531,0.0011,0.0523,0.0014,0.0558,0.0027,0.1305,0.0051,0.1396,0.0034,0.1362,0.0042,0.1437,0.0041,0.1176,0.0038,0.1259,0.0054,0.1069,0.0036,0.1172,0.0085,0.0847,0.0022,0.0952,0.0115,0.0442,0.0023,0.0594,0.0129,0.0106,0.002,0.0257,0.0644,0.9008,0.0361,1.0
Dandenong,0.0001,0.0294,0.0026,0.0332,0.0019,0.051,0.0039,0.0585,0.0003,0.0251,0.0012,0.0276,0.0004,0.0326,0.0022,0.0361,0.0008,0.0879,0.0085,0.0981,0.0015,0.0695,0.0057,0.0777,0.0023,0.0512,0.0036,0.0587,0.0045,0.0425,0.0026,0.0508,0.0058,0.0302,0.0015,0.0396,0.0067,0.016,0.0009,0.0244,0.0034,0.0027,0.0003,0.0076,0.0353,0.4389,0.0392,0.5133,0.0,0.0289,0.0024,0.0319,0.0006,0.0502,0.0042,0.0555,0.0002,0.0234,0.0012,0.0259,0.0002,0.0304,0.0016,0.0329,0.0008,0.0761,0.006,0.0835,0.0012,0.0621,0.0042,0.0686,0.003,0.0452,0.0029,0.0527,0.0055,0.041,0.0022,0.0504,0.0076,0.0332,0.0019,0.0438,0.0101,0.0154,0.001,0.0281,0.0083,0.0035,0.0005,0.0133,0.0427,0.411,0.033,0.4867,0.0002,0.0583,0.0053,0.0647,0.003,0.1019,0.0089,0.1145,0.0007,0.0491,0.0034,0.0546,0.0009,0.0635,0.0042,0.0697,0.0026,0.1641,0.0148,0.1818,0.0035,0.1311,0.0109,0.1469,0.006,0.0966,0.0072,0.1113,0.0113,0.0835,0.006,0.101,0.0147,0.0632,0.0042,0.0832,0.0166,0.0324,0.0024,0.0521,0.0126,0.0073,0.001,0.0217,0.0777,0.8496,0.0728,1.0
Eildon,0.0,0.0231,0.0006,0.0253,0.0029,0.054,0.0041,0.0609,0.0005,0.0277,0.0016,0.0306,0.0005,0.0215,0.0015,0.0251,0.0004,0.0446,0.0028,0.0493,0.0007,0.0485,0.0039,0.0534,0.0013,0.0615,0.0048,0.0686,0.0027,0.0693,0.005,0.077,0.0038,0.0589,0.0039,0.0678,0.0045,0.0262,0.0019,0.0346,0.0029,0.0038,0.0002,0.0081,0.0271,0.4373,0.0362,0.5005,0.0,0.0216,0.0009,0.0229,0.0012,0.052,0.0028,0.0577,0.0002,0.025,0.0013,0.0267,0.0001,0.0195,0.0012,0.0218,0.0005,0.0455,0.0025,0.0499,0.0002,0.0517,0.003,0.0576,0.0016,0.0628,0.0044,0.0711,0.0031,0.0712,0.0045,0.08,0.0039,0.0591,0.0035,0.0677,0.0049,0.0241,0.0011,0.0316,0.0049,0.0042,0.0003,0.0112,0.0292,0.437,0.0345,0.4994,0.0001,0.045,0.0018,0.0481,0.0054,0.1056,0.0081,0.1188,0.0013,0.0515,0.004,0.0574,0.0008,0.0418,0.0031,0.0462,0.0017,0.0896,0.0066,0.0997,0.0015,0.0996,0.0081,0.1107,0.0037,0.1236,0.0102,0.1384,0.0064,0.1411,0.0102,0.1582,0.0096,0.1179,0.0083,0.1354,0.0113,0.0502,0.0042,0.0664,0.0086,0.009,0.0007,0.0198,0.0567,0.8744,0.0701,1.0
Eltham,0.0001,0.0269,0.0001,0.0276,0.0025,0.0637,0.0016,0.0684,0.0003,0.0319,0.0004,0.0343,0.0002,0.0273,0.0001,0.0294,0.0008,0.0435,0.0005,0.0455,0.0003,0.0586,0.0008,0.0613,0.0007,0.068,0.0014,0.0708,0.0014,0.0616,0.0009,0.0653,0.0017,0.0481,0.001,0.0524,0.0031,0.0209,0.0006,0.0253,0.0016,0.0023,0.0004,0.0056,0.0201,0.4543,0.0142,0.4877,0.0,0.0259,0.0003,0.0272,0.001,0.0623,0.001,0.066,0.0004,0.0301,0.0002,0.0314,0.0,0.0252,0.0002,0.0259,0.0007,0.0449,0.0005,0.0468,0.0004,0.0663,0.0009,0.069,0.0009,0.0738,0.0008,0.0771,0.0016,0.0703,0.0012,0.0742,0.0026,0.0526,0.0011,0.0585,0.0042,0.0213,0.0006,0.0281,0.0046,0.0034,0.0007,0.0102,0.023,0.4764,0.0141,0.5121,0.0001,0.0517,0.0009,0.0538,0.0045,0.1263,0.0032,0.1345,0.0014,0.0619,0.0008,0.0656,0.0006,0.0517,0.0005,0.0544,0.0016,0.0865,0.0015,0.0916,0.0011,0.1238,0.003,0.1298,0.002,0.1424,0.0029,0.1495,0.0031,0.1322,0.0034,0.1398,0.0056,0.1007,0.0027,0.1103,0.0087,0.0434,0.0014,0.0538,0.0066,0.0069,0.0013,0.0165,0.044,0.9285,0.0285,1.0
Essendon,0.0,0.023,0.001,0.0248,0.0013,0.0509,0.0017,0.0548,0.0007,0.0249,0.0005,0.0268,0.0002,0.031,0.0012,0.0331,0.0006,0.0806,0.0036,0.086,0.0003,0.0689,0.0027,0.073,0.0008,0.0617,0.0023,0.0659,0.0013,0.0508,0.0017,0.0556,0.0018,0.0364,0.0011,0.0393,0.0031,0.0135,0.0005,0.0185,0.004,0.0021,0.0001,0.0071,0.0204,0.4439,0.0224,0.4858,0.0,0.0222,0.0006,0.024,0.0003,0.0478,0.0011,0.0502,0.0001,0.0233,0.0006,0.0246,0.0002,0.0339,0.0007,0.0354,0.0006,0.0861,0.0047,0.0924,0.0004,0.0733,0.0029,0.0769,0.001,0.0669,0.0018,0.0707,0.0015,0.0547,0.0017,0.059,0.0032,0.0373,0.0009,0.043,0.0066,0.0139,0.0005,0.0229,0.0087,0.0032,0.0003,0.0137,0.0283,0.4631,0.0225,0.5136,0.0,0.0453,0.002,0.0485,0.0023,0.0982,0.0035,0.1051,0.001,0.0483,0.0015,0.0505,0.0006,0.0656,0.0027,0.0704,0.0019,0.1662,0.0085,0.1774,0.0013,0.1416,0.0062,0.1498,0.002,0.1285,0.0055,0.1367,0.0041,0.1055,0.0047,0.1154,0.0062,0.0733,0.0031,0.0835,0.0115,0.0274,0.0014,0.0409,0.0124,0.0067,0.0007,0.0205,0.0488,0.9058,0.0445,1.0
