district,M_0_4_yrs_Need_for_assistance_n,M_0_4_No_need_for_assistance_n,M_0_4_Need_for_assistance_ns_n,M_0_4_yrs_Tot_n,M_5_14_Need_for_assistance_n,M_5_14_No_need_for_assistance_n,M_5_14_Need_for_assistance_ns_n,M_5_14_yrs_Tot_n,M_15_19_Need_for_assistance_n,M_15_19_No_need_for_assistnce_n,M_15_19_Need_for_assistnce_ns_n,M_15_19_yrs_Tot_n,M_20_24_Need_for_assistance_n,M_20_24_No_need_for_assistnce_n,M_20_24_Need_for_assistnce_ns_n,M_20_24_yrs_Tot_n,M_25_34_Need_for_assistance_n,M_25_34_No_need_for_assistnce_n,M_25_34_Need_for_assistnce_ns_n,M_25_34_yrs_Tot_n,M_35_44_Need_for_assistance_n,M_35_44_No_need_for_assistnce_n,M_35_44_Need_for_assistnce_ns_n,M_35_44_yrs_Tot_n,M_45_54_Need_for_assistance_n,M_45_54_No_need_for_assistnce_n,M_45_54_Need_for_assistnce_ns_n,M_45_54_yrs_Tot_n,M_55_64_Need_for_assistance_n,M_55_64_No_need_for_assistnce_n,M_55_64_Need_for_assistnce_ns_n,M_55_64_yrs_Tot_n,M_65_74_Need_for_assistance_n,M_65_74_No_need_for_assistnce_n,M_65_74_Need_for_assistnce_ns_n,M_65_74_yrs_Tot_n,M_75_84_Need_for_assistance_n,M_75_84_No_need_for_assistnce_n,M_75_84_Need_for_assistnce_ns_n,M_75_84_yrs_Tot_n,M_85_over_Need_for_assistance_n,M_85_ov_No_need_for_assistnce_n,M_85_ov_Need_for_assistnce_ns_n,M_85_yrs_over_Tot_n,M_Tot_Need_for_assistance_n,M_Tot_No_need_for_assistance_n,M_Tot_Need_for_assistance_ns_n,M_Tot_Tot_n,F_0_4_yrs_Need_for_assistance_n,F_0_4_No_need_for_assistance_n,F_0_4_Need_for_assistance_ns_n,F_0_4_yrs_Tot_n,F_5_14_Need_for_assistance_n,F_5_14_No_need_for_assistance_n,F_5_14_Need_for_assistance_ns_n,F_5_14_yrs_Tot_n,F_15_19_Need_for_assistance_n,F_15_19_No_need_for_assistnce_n,F_15_19_Need_for_assistnce_ns_n,F_15_19_yrs_Tot_n,F_20_24_Need_for_assistance_n,F_20_24_No_need_for_assistnce_n,F_20_24_Need_for_assistnce_ns_n,F_20_24_yrs_Tot_n,F_25_34_Need_for_assistance_n,F_25_34_No_need_for_assistnce_n,F_25_34_Need_for_assistnce_ns_n,F_25_34_yrs_Tot_n,F_35_44_Need_for_assistance_n,F_35_44_No_need_for_assistnce_n,F_35_44_Need_for_assistnce_ns_n,F_35_44_yrs_Tot_n,F_45_54_Need_for_assistance_n,F_45_54_No_need_for_assistnce_n,F_45_54_Need_for_assistnce_ns_n,F_45_54_yrs_Tot_n,F_55_64_Need_for_assistance_n,F_55_64_No_need_for_assistnce_n,F_55_64_Need_for_assistnce_ns_n,F_55_64_yrs_Tot_n,F_65_74_Need_for_assistance_n,F_65_74_No_need_for_assistnce_n,F_65_74_Need_for_assistnce_ns_n,F_65_74_yrs_Tot_n,F_75_84_Need_for_assistance_n,F_75_84_No_need_for_assistnce_n,F_75_84_Need_for_assistnce_ns_n,F_75_84_yrs_Tot_n,F_85_over_Need_for_assistance_n,F_85_ov_No_need_for_assistnce_n,F_85_ov_Need_for_assistnce_ns_n,F_85_yrs_over_Tot_n,F_Tot_Need_for_assistance_n,F_Tot_No_need_for_assistance_n,F_Tot_Need_for_assistance_ns_n,F_Tot_Tot_n,P_0_4_yrs_Need_for_assistance_n,P_0_4_No_need_for_assistance_n,P_0_4_Need_for_assistance_ns_n,P_0_4_yrs_Tot_n,P_5_14_Need_for_assistance_n,P_5_14_No_need_for_assistance_n,P_5_14_Need_for_assistance_ns_n,P_5_14_yrs_Tot_n,P_15_19_Need_for_assistance_n,P_15_19_No_need_for_assistnce_n,P_15_19_Need_for_assistnce_ns_n,P_15_19_yrs_Tot_n,P_20_24_Need_for_assistance_n,P_20_24_No_need_for_assistnce_n,P_20_24_Need_for_assistnce_ns_n,P_20_24_yrs_Tot_n,P_25_34_Need_for_assistance_n,P_25_34_No_need_for_assistnce_n,P_25_34_Need_for_assistnce_ns_n,P_25_34_yrs_Tot_n,P_35_44_Need_for_assistance_n,P_35_44_No_need_for_assistnce_n,P_35_44_Need_for_assistnce_ns_n,P_35_44_yrs_Tot_n,P_45_54_Need_for_assistance_n,P_45_54_No_need_for_assistnce_n,P_45_54_Need_for_assistnce_ns_n,P_45_54_yrs_Tot_n,P_55_64_Need_for_assistance_n,P_55_64_No_need_for_assistnce_n,P_55_64_Need_for_assistnce_ns_n,P_55_64_yrs_Tot_n,P_65_74_Need_for_assistance_n,P_65_74_No_need_for_assistnce_n,P_65_74_Need_for_assistnce_ns_n,P_65_74_yrs_Tot_n,P_75_84_Need_for_assistance_n,P_75_84_No_need_for_assistnce_n,P_75_84_Need_for_assistnce_ns_n,P_75_84_yrs_Tot_n,P_85_over_Need_for_assistance_n,P_85_ov_No_need_for_assistnce_n,P_85_ov_Need_for_assistnce_ns_n,P_85_yrs_over_Tot_n,P_Tot_Need_for_assistance_n,P_Tot_No_need_for_assistance_n,P_Tot_Need_for_assistance_ns_n,P_Tot_Tot_n,P_Tot_Tot_total
Box Hill,9.0,1766.0,13.0,1846.0,138.0,4293.0,75.0,4650.0,38.0,2442.0,44.0,2564.0,23.0,3433.0,157.0,3736.0,34.0,6219.0,352.0,6671.0,33.0,5175.0,177.0,5495.0,43.0,4946.0,134.0,5220.0,118.0,4107.0,81.0,4452.0,188.0,2937.0,90.0,3273.0,322.0,1521.0,26.0,2017.0,398.0,446.0,42.0,975.0,1836.0,37281.0,1764.0,40888.0,0.0,1735.0,32.0,1798.0,37.0,4203.0,85.0,4443.0,29.0,2478.0,33.0,2636.0,3.0,3195.0,145.0,3474.0,38.0,6090.0,302.0,6552.0,46.0,5554.0,151.0,5842.0,95.0,5532.0,91.0,5887.0,127.0,4600.0,92.0,4895.0,286.0,3432.0,92.0,3888.0,612.0,1911.0,54.0,2658.0,885.0,642.0,73.0,1645.0,2649.0,39505.0,1658.0,43854.0,12.0,3430.0,66.0,3605.0,235.0,8599.0,237.0,9164.0,83.0,4945.0,102.0,5203.0,48.0,6680.0,348.0,7238.0,83.0,12278.0,661.0,13220.0,93.0,10711.0,349.0,11280.0,200.0,10551.0,343.0,11211.0,313.0,8676.0,237.0,9403.0,562.0,6219.0,219.0,7180.0,1004.0,3494.0,132.0,4624.0,1336.0,1161.0,126.0,2679.0,4564.0,76726.0,3424.0,84750.0,84750.0
Brighton,3.0,1300.0,17.0,1364.0,41.0,3853.0,147.0,4167.0,12.0,2022.0,22.0,2166.0,0.0,1645.0,44.0,1722.0,15.0,3151.0,127.0,3392.0,17.0,3708.0,160.0,3947.0,29.0,4582.0,173.0,4823.0,62.0,3946.0,129.0,4210.0,77.0,2837.0,104.0,3091.0,194.0,1479.0,55.0,1812.0,245.0,313.0,41.0,706.0,1037.0,28968.0,1425.0,31481.0,0.0,1395.0,22.0,1464.0,6.0,3557.0,126.0,3745.0,11.0,1825.0,20.0,1953.0,11.0,1545.0,38.0,1594.0,14.0,3592.0,187.0,3849.0,17.0,4360.0,195.0,4638.0,35.0,5259.0,169.0,5564.0,64.0,4326.0,127.0,4628.0,138.0,3112.0,97.0,3508.0,382.0,1724.0,92.0,2281.0,660.0,433.0,85.0,1295.0,1700.0,31226.0,1547.0,34511.0,3.0,2691.0,49.0,2862.0,58.0,7413.0,324.0,7891.0,40.0,3860.0,79.0,4050.0,27.0,3227.0,111.0,3437.0,51.0,6761.0,349.0,7252.0,67.0,8056.0,405.0,8557.0,79.0,9859.0,403.0,10434.0,162.0,8250.0,312.0,8797.0,263.0,5958.0,264.0,6584.0,641.0,3212.0,175.0,4096.0,982.0,848.0,150.0,1987.0,2832.0,60250.0,2935.0,65998.0,65998.0
Broadmeadows,13.0,2659.0,174.0,3000.0,284.0,4340.0,363.0,5155.0,32.0,1932.0,109.0,2142.0,31.0,2837.0,266.0,3145.0,96.0,7079.0,738.0,7982.0,177.0,5476.0,494.0,6173.0,213.0,3781.0,303.0,4351.0,394.0,3119.0,226.0,3753.0,426.0,1760.0,87.0,2414.0,499.0,1038.0,75.0,1717.0,464.0,267.0,38.0,868.0,3120.0,34466.0,3357.0,40910.0,0.0,2513.0,180.0,2829.0,109.0,4188.0,379.0,4839.0,15.0,1761.0,72.0,1930.0,3.0,2497.0,133.0,2677.0,59.0,6398.0,536.0,7061.0,119.0,5091.0,386.0,5619.0,247.0,3656.0,238.0,4275.0,468.0,3040.0,174.0,3836.0,674.0,1976.0,81.0,2844.0,975.0,1262.0,125.0,2395.0,924.0,319.0,81.0,1349.0,3967.0,32808.0,2851.0,39576.0,19.0,5273.0,410.0,5794.0,467.0,8575.0,843.0,9867.0,55.0,3658.0,275.0,4138.0,44.0,5256.0,441.0,5887.0,194.0,13498.0,1251.0,15033.0,326.0,10557.0,928.0,11875.0,535.0,7493.0,563.0,8643.0,908.0,6148.0,439.0,7590.0,1155.0,3729.0,214.0,5245.0,1519.0,2314.0,238.0,4148.0,1377.0,677.0,142.0,2318.0,7085.0,67264.0,6191.0,80538.0,80538.0
Brunswick,4.0,1370.0,23.0,1428.0,62.0,2198.0,62.0,2406.0,18.0,963.0,9.0,1009.0,6.0,2351.0,76.0,2495.0,37.0,8528.0,327.0,8939.0,28.0,5418.0,198.0,5724.0,50.0,3552.0,100.0,3870.0,95.0,2544.0,85.0,2820.0,127.0,1728.0,43.0,1926.0,242.0,851.0,24.0,1189.0,194.0,146.0,11.0,462.0,1260.0,29893.0,1283.0,32396.0,0.0,1322.0,18.0,1374.0,3.0,2200.0,27.0,2357.0,3.0,1003.0,11.0,1075.0,7.0,3140.0,65.0,3274.0,76.0,9484.0,327.0,9995.0,37.0,5658.0,143.0,5879.0,75.0,3755.0,103.0,3964.0,102.0,2950.0,53.0,3127.0,220.0,2085.0,78.0,2420.0,425.0,989.0,20.0,1594.0,443.0,159.0,10.0,724.0,1876.0,32708.0,1270.0,35862.0,4.0,2670.0,59.0,2757.0,97.0,4449.0,124.0,4776.0,23.0,1984.0,20.0,2097.0,21.0,5535.0,167.0,5813.0,177.0,17980.0,713.0,18922.0,91.0,11062.0,375.0,11631.0,133.0,7286.0,241.0,7796.0,242.0,5426.0,177.0,5969.0,387.0,3780.0,161.0,4413.0,739.0,1872.0,76.0,2810.0,669.0,332.0,36.0,1229.0,3131.0,62567.0,2538.0,68241.0,68241.0
Bulleen,5.0,1537.0,28.0,1657.0,151.0,3757.0,79.0,4087.0,13.0,1986.0,34.0,2081.0,20.0,2188.0,42.0,2317.0,14.0,4203.0,82.0,4393.0,20.0,4321.0,95.0,4595.0,44.0,4308.0,85.0,4522.0,85.0,4112.0,66.0,4419.0,187.0,3104.0,52.0,3506.0,497.0,2331.0,69.0,2997.0,588.0,588.0,46.0,1286.0,2070.0,32604.0,1205.0,35992.0,0.0,1587.0,44.0,1675.0,34.0,3626.0,55.0,3825.0,10.0,1883.0,10.0,1919.0,9.0,1925.0,25.0,2039.0,19.0,4196.0,102.0,4393.0,17.0,4742.0,149.0,4971.0,55.0,4773.0,111.0,5036.0,167.0,4664.0,72.0,5002.0,348.0,3830.0,74.0,4351.0,915.0,2478.0,99.0,3603.0,1009.0,537.0,90.0,1682.0,2961.0,34335.0,1288.0,38472.0,9.0,3171.0,105.0,3349.0,225.0,7391.0,202.0,7933.0,44.0,3934.0,62.0,4115.0,44.0,4195.0,93.0,4357.0,55.0,8413.0,236.0,8831.0,72.0,9089.0,281.0,9593.0,126.0,9052.0,243.0,9526.0,312.0,8831.0,193.0,9413.0,611.0,6956.0,187.0,7832.0,1495.0,4827.0,194.0,6566.0,1595.0,1198.0,161.0,3009.0,5038.0,66952.0,2547.0,74527.0,74527.0
Bundoora,18.0,1870.0,26.0,1967.0,205.0,3598.0,75.0,3960.0,47.0,1891.0,44.0,2029.0,21.0,2488.0,152.0,2695.0,50.0,4830.0,196.0,5223.0,56.0,4487.0,104.0,4780.0,127.0,4279.0,70.0,4582.0,146.0,3400.0,85.0,3722.0,218.0,2675.0,58.0,3039.0,370.0,1343.0,45.0,1845.0,307.0,259.0,12.0,629.0,2026.0,31188.0,1375.0,34625.0,0.0,1727.0,43.0,1837.0,64.0,3438.0,63.0,3673.0,4.0,1773.0,44.0,1860.0,14.0,2111.0,102.0,2327.0,31.0,4538.0,136.0,4848.0,36.0,4607.0,108.0,4855.0,131.0,4391.0,93.0,4790.0,183.0,3655.0,65.0,4068.0,338.0,3083.0,68.0,3563.0,659.0,1505.0,6.0,2235.0,547.0,332.0,33.0,968.0,2417.0,31220.0,1302.0,34876.0,16.0,3635.0,116.0,3818.0,325.0,7008.0,201.0,7602.0,73.0,3667.0,105.0,3927.0,47.0,4575.0,299.0,5020.0,116.0,9440.0,410.0,10046.0,153.0,9045.0,247.0,9605.0,316.0,8661.0,214.0,9300.0,385.0,7086.0,216.0,7837.0,668.0,5803.0,175.0,6658.0,1086.0,2823.0,93.0,4043.0,895.0,615.0,47.0,1607.0,4463.0,62424.0,2669.0,69522.0,69522.0
Carrum,6.0,2392.0,79.0,2563.0,284.0,4450.0,155.0,5009.0,54.0,1871.0,73.0,2073.0,24.0,1787.0,52.0,1930.0,51.0,4509.0,190.0,4836.0,62.0,5287.0,194.0,5709.0,64.0,4736.0,168.0,5075.0,120.0,3873.0,101.0,4221.0,268.0,2574.0,68.0,2964.0,196.0,1064.0,60.0,1461.0,124.0,169.0,0.0,357.0,1794.0,32936.0,1576.0,36313.0,6.0,2373.0,49.0,2455.0,108.0,4411.0,166.0,4742.0,24.0,1765.0,39.0,1852.0,10.0,1771.0,28.0,1886.0,29.0,4889.0,183.0,5247.0,59.0,5589.0,190.0,5940.0,126.0,4898.0,108.0,5297.0,235.0,3940.0,114.0,4459.0,349.0,2899.0,76.0,3454.0,384.0,1211.0,57.0,1725.0,407.0,214.0,35.0,702.0,2222.0,34099.0,1512.0,37839.0,34.0,4749.0,175.0,5083.0,448.0,8834.0,410.0,9714.0,112.0,3640.0,134.0,3952.0,53.0,3575.0,131.0,3871.0,146.0,9379.0,414.0,9994.0,168.0,10923.0,423.0,11688.0,296.0,9612.0,383.0,10339.0,422.0,7866.0,272.0,8672.0,708.0,5515.0,199.0,6413.0,658.0,2279.0,142.0,3175.0,606.0,421.0,51.0,1156.0,4029.0,67032.0,3123.0,74151.0,74151.0
Caulfield,4.0,1837.0,37.0,1939.0,87.0,3631.0,91.0,3863.0,11.0,1641.0,13.0,1702.0,20.0,2190.0,114.0,2380.0,36.0,6117.0,326.0,6592.0,12.0,4863.0,193.0,5159.0,37.0,3997.0,116.0,4206.0,36.0,3266.0,39.0,3475.0,152.0,2856.0,98.0,3161.0,224.0,1120.0,26.0,1464.0,272.0,242.0,14.0,598.0,1343.0,31660.0,1599.0,34636.0,3.0,1782.0,41.0,1858.0,30.0,3649.0,116.0,3833.0,15.0,1644.0,38.0,1733.0,10.0,2339.0,60.0,2507.0,24.0,6350.0,290.0,6784.0,37.0,5029.0,195.0,5341.0,38.0,4309.0,82.0,4550.0,54.0,3417.0,92.0,3700.0,222.0,3059.0,128.0,3524.0,429.0,1204.0,45.0,1852.0,665.0,318.0,64.0,1129.0,2001.0,33302.0,1652.0,37040.0,12.0,3652.0,136.0,3900.0,156.0,7269.0,263.0,7766.0,33.0,3329.0,76.0,3505.0,49.0,4493.0,258.0,4871.0,98.0,12508.0,695.0,13328.0,68.0,9884.0,449.0,10508.0,123.0,8317.0,308.0,8859.0,175.0,6685.0,199.0,7211.0,463.0,5862.0,275.0,6666.0,708.0,2404.0,103.0,3292.0,1020.0,644.0,117.0,1796.0,3276.0,64966.0,3302.0,71543.0,71543.0
Clarinda,8.0,1842.0,39.0,1929.0,146.0,3930.0,117.0,4288.0,42.0,1976.0,26.0,2083.0,14.0,2397.0,128.0,2607.0,65.0,5028.0,214.0,5459.0,49.0,4732.0,128.0,5017.0,47.0,4410.0,98.0,4679.0,199.0,3772.0,86.0,4270.0,301.0,2963.0,95.0,3459.0,510.0,1439.0,68.0,2096.0,307.0,294.0,19.0,710.0,2174.0,32861.0,1579.0,36530.0,3.0,1760.0,50.0,1883.0,54.0,3867.0,110.0,4111.0,23.0,1839.0,43.0,1949.0,0.0,2021.0,25.0,2180.0,35.0,4582.0,151.0,4822.0,45.0,4833.0,161.0,5172.0,107.0,4662.0,123.0,4987.0,291.0,4002.0,122.0,4491.0,488.0,3288.0,88.0,3954.0,764.0,1556.0,56.0,2443.0,666.0,326.0,14.0,1097.0,2833.0,32814.0,1459.0,37070.0,14.0,3591.0,126.0,3812.0,220.0,7759.0,261.0,8373.0,78.0,3845.0,108.0,4045.0,29.0,4375.0,215.0,4751.0,131.0,9709.0,417.0,10323.0,165.0,9564.0,339.0,10141.0,226.0,9022.0,279.0,9617.0,548.0,7801.0,301.0,8667.0,898.0,6250.0,245.0,7481.0,1288.0,2963.0,185.0,4493.0,996.0,649.0,55.0,1855.0,4971.0,65647.0,2996.0,73603.0,73603.0
Cranbourne,36.0,3898.0,156.0,4229.0,380.0,6318.0,401.0,7155.0,52.0,2232.0,87.0,2504.0,49.0,2472.0,139.0,2788.0,77.0,6682.0,376.0,7243.0,64.0,7271.0,323.0,7755.0,109.0,4242.0,196.0,4636.0,193.0,2911.0,95.0,3294.0,215.0,1809.0,56.0,2218.0,244.0,780.0,48.0,1132.0,99.0,148.0,20.0,282.0,2128.0,38861.0,2309.0,43301.0,6.0,3630.0,175.0,3887.0,147.0,6121.0,314.0,6701.0,56.0,2184.0,59.0,2417.0,21.0,2546.0,70.0,2670.0,72.0,7457.0,404.0,8095.0,87.0,6996.0,284.0,7443.0,136.0,4182.0,153.0,4652.0,257.0,2912.0,118.0,3347.0,357.0,2038.0,81.0,2633.0,294.0,871.0,54.0,1356.0,273.0,195.0,25.0,570.0,2306.0,39367.0,2268.0,43932.0,49.0,7587.0,440.0,8173.0,630.0,12408.0,798.0,13795.0,150.0,4456.0,190.0,4953.0,104.0,5096.0,275.0,5536.0,215.0,14157.0,849.0,15272.0,216.0,14243.0,694.0,15203.0,371.0,8471.0,410.0,9321.0,507.0,5843.0,309.0,6699.0,665.0,3916.0,189.0,4771.0,584.0,1748.0,121.0,2546.0,437.0,376.0,47.0,938.0,4441.0,78237.0,4617.0,87250.0,87250.0
Croydon,12.0,2312.0,33.0,2423.0,302.0,4152.0,120.0,4630.0,44.0,1893.0,27.0,2027.0,39.0,2035.0,50.0,2207.0,68.0,4667.0,145.0,4991.0,77.0,4965.0,121.0,5226.0,115.0,4168.0,109.0,4443.0,133.0,3775.0,96.0,4137.0,242.0,2842.0,40.0,3200.0,335.0,1454.0,50.0,1882.0,243.0,281.0,22.0,647.0,2145.0,32430.0,1221.0,35777.0,4.0,2191.0,32.0,2298.0,131.0,3996.0,88.0,4348.0,43.0,1763.0,29.0,1880.0,28.0,1914.0,25.0,2027.0,62.0,5126.0,157.0,5441.0,122.0,5217.0,153.0,5553.0,147.0,4539.0,111.0,4902.0,204.0,4198.0,88.0,4640.0,300.0,3488.0,58.0,3939.0,565.0,1811.0,60.0,2505.0,610.0,428.0,107.0,1262.0,2683.0,34772.0,1337.0,38785.0,18.0,4506.0,94.0,4717.0,526.0,8111.0,294.0,8956.0,118.0,3609.0,103.0,3956.0,84.0,3895.0,107.0,4161.0,199.0,9729.0,378.0,10408.0,251.0,10153.0,310.0,10713.0,309.0,8763.0,280.0,9381.0,406.0,7968.0,270.0,8735.0,635.0,6310.0,163.0,7093.0,858.0,3295.0,171.0,4428.0,959.0,788.0,148.0,1917.0,4800.0,67135.0,2690.0,74532.0,74532.0
Dandenong,7.0,2640.0,236.0,2981.0,168.0,4572.0,354.0,5252.0,28.0,2250.0,105.0,2477.0,33.0,2924.0,197.0,3241.0,76.0,7888.0,760.0,8804.0,134.0,6234.0,514.0,6968.0,206.0,4594.0,323.0,5267.0,403.0,3815.0,230.0,4559.0,517.0,2713.0,137.0,3554.0,605.0,1432.0,80.0,2188.0,304.0,246.0,25.0,684.0,3168.0,39379.0,3520.0,46059.0,0.0,2597.0,211.0,2862.0,56.0,4506.0,374.0,4984.0,14.0,2102.0,106.0,2322.0,19.0,2727.0,147.0,2951.0,75.0,6825.0,541.0,7493.0,106.0,5571.0,378.0,6154.0,265.0,4052.0,262.0,4729.0,490.0,3675.0,194.0,4522.0,680.0,2978.0,168.0,3929.0,907.0,1385.0,86.0,2517.0,741.0,316.0,49.0,1195.0,3835.0,36876.0,2961.0,43666.0,19.0,5231.0,478.0,5807.0,265.0,9139.0,803.0,10270.0,59.0,4408.0,305.0,4898.0,85.0,5700.0,378.0,6257.0,233.0,14723.0,1328.0,16310.0,310.0,11765.0,982.0,13184.0,542.0,8664.0,643.0,9984.0,1014.0,7491.0,538.0,9065.0,1319.0,5670.0,377.0,7466.0,1490.0,2907.0,213.0,4675.0,1133.0,652.0,87.0,1949.0,6976.0,76228.0,6530.0,89727.0,89727.0
Eildon,0.0,1529.0,39.0,1677.0,189.0,3574.0,270.0,4036.0,35.0,1833.0,107.0,2026.0,30.0,1424.0,99.0,1663.0,29.0,2957.0,185.0,3264.0,45.0,3211.0,258.0,3538.0,83.0,4074.0,315.0,4540.0,182.0,4592.0,334.0,5097.0,250.0,3898.0,256.0,4488.0,297.0,1737.0,125.0,2294.0,189.0,252.0,12.0,535.0,1797.0,28964.0,2400.0,33148.0,0.0,1433.0,59.0,1518.0,80.0,3444.0,185.0,3823.0,15.0,1658.0,85.0,1770.0,4.0,1290.0,81.0,1445.0,34.0,3011.0,166.0,3302.0,15.0,3425.0,200.0,3814.0,106.0,4162.0,292.0,4708.0,205.0,4715.0,297.0,5300.0,260.0,3915.0,232.0,4484.0,322.0,1594.0,76.0,2093.0,322.0,281.0,20.0,740.0,1937.0,28942.0,2284.0,33076.0,7.0,2978.0,121.0,3186.0,355.0,6993.0,534.0,7871.0,87.0,3408.0,266.0,3800.0,53.0,2766.0,208.0,3059.0,112.0,5931.0,435.0,6605.0,102.0,6596.0,538.0,7330.0,242.0,8185.0,673.0,9168.0,427.0,9343.0,676.0,10475.0,638.0,7808.0,549.0,8966.0,746.0,3327.0,277.0,4398.0,572.0,596.0,46.0,1311.0,3754.0,57912.0,4640.0,66227.0,66227.0
Eltham,9.0,1783.0,8.0,1834.0,168.0,4226.0,104.0,4537.0,18.0,2120.0,27.0,2274.0,16.0,1815.0,4.0,1949.0,54.0,2889.0,36.0,3018.0,19.0,3889.0,51.0,4067.0,48.0,4516.0,90.0,4699.0,91.0,4085.0,57.0,4333.0,112.0,3192.0,69.0,3478.0,203.0,1388.0,39.0,1681.0,107.0,154.0,28.0,370.0,1337.0,30147.0,945.0,32366.0,0.0,1721.0,19.0,1808.0,64.0,4137.0,65.0,4379.0,25.0,1996.0,16.0,2087.0,0.0,1672.0,16.0,1722.0,46.0,2977.0,36.0,3105.0,25.0,4397.0,60.0,4576.0,57.0,4896.0,55.0,5114.0,106.0,4664.0,80.0,4922.0,173.0,3490.0,76.0,3885.0,281.0,1413.0,39.0,1864.0,302.0,225.0,48.0,674.0,1525.0,31615.0,933.0,33983.0,9.0,3430.0,60.0,3569.0,298.0,8379.0,214.0,8927.0,96.0,4108.0,55.0,4351.0,42.0,3429.0,33.0,3610.0,106.0,5742.0,102.0,6077.0,75.0,8217.0,196.0,8613.0,131.0,9452.0,190.0,9919.0,204.0,8775.0,227.0,9279.0,374.0,6685.0,181.0,7317.0,580.0,2877.0,94.0,3571.0,441.0,460.0,86.0,1098.0,2917.0,61620.0,1890.0,66366.0,66366.0
Essendon,3.0,1613.0,70.0,1742.0,90.0,3575.0,119.0,3844.0,47.0,1746.0,32.0,1883.0,13.0,2179.0,81.0,2326.0,42.0,5657.0,254.0,6033.0,19.0,4835.0,190.0,5123.0,53.0,4329.0,163.0,4622.0,93.0,3562.0,122.0,3899.0,126.0,2555.0,75.0,2758.0,221.0,948.0,33.0,1301.0,283.0,150.0,4.0,501.0,1430.0,31154.0,1570.0,34093.0,0.0,1556.0,45.0,1687.0,20.0,3352.0,78.0,3526.0,4.0,1633.0,39.0,1725.0,13.0,2380.0,50.0,2484.0,43.0,6045.0,332.0,6484.0,26.0,5141.0,202.0,5396.0,68.0,4692.0,124.0,4964.0,108.0,3837.0,120.0,4140.0,226.0,2619.0,64.0,3019.0,464.0,973.0,33.0,1605.0,612.0,226.0,22.0,960.0,1987.0,32502.0,1581.0,36048.0,3.0,3178.0,137.0,3406.0,160.0,6894.0,249.0,7379.0,71.0,3393.0,106.0,3547.0,44.0,4603.0,189.0,4944.0,130.0,11661.0,597.0,12453.0,92.0,9936.0,436.0,10516.0,139.0,9017.0,388.0,9596.0,285.0,7405.0,327.0,8098.0,432.0,5142.0,215.0,5858.0,805.0,1924.0,95.0,2873.0,870.0,470.0,49.0,1438.0,3427.0,63575.0,3120.0,70183.0,70183.0
Eureka,10.0,2128.0,84.0,2286.0,340.0,4568.0,271.0,5191.0,89.0,1979.0,67.0,2217.0,22.0,1880.0,73.0,2111.0,85.0,4338.0,238.0,4758.0,49.0,4382.0,193.0,4755.0,124.0,4248.0,272.0,4750.0,207.0,3869.0,174.0,4409.0,324.0,3297.0,188.0,3859.0,340.0,1270.0,91.0,1837.0,211.0,174.0,33.0,493.0,2365.0,32270.0,2093.0,36670.0,5.0,2066.0,77.0,2203.0,183.0,4398.0,184.0,4825.0,51.0,1844.0,98.0,2075.0,31.0,1837.0,61.0,2044.0,71.0,4514.0,195.0,4863.0,96.0,4737.0,181.0,5096.0,153.0,4481.0,177.0,4958.0,240.0,4263.0,199.0,4793.0,341.0,3456.0,118.0,4064.0,460.0,1429.0,90.0,2031.0,430.0,306.0,34.0,947.0,2587.0,33446.0,1929.0,37903.0,25.0,4185.0,212.0,4463.0,588.0,8947.0,490.0,10080.0,203.0,3826.0,233.0,4332.0,67.0,3687.0,201.0,4095.0,223.0,8850.0,504.0,9653.0,239.0,9032.0,454.0,9782.0,383.0,8814.0,454.0,9637.0,470.0,8267.0,397.0,9216.0,777.0,6730.0,406.0,7909.0,820.0,2791.0,212.0,3920.0,721.0,549.0,83.0,1455.0,4925.0,65672.0,3977.0,74592.0,74592.0
Euroa,9.0,1457.0,57.0,1654.0,202.0,3080.0,304.0,3676.0,33.0,1632.0,108.0,1916.0,54.0,1529.0,104.0,1750.0,63.0,2923.0,293.0,3450.0,61.0,2837.0,301.0,3345.0,120.0,3648.0,384.0,4293.0,231.0,4345.0,449.0,5090.0,420.0,4138.0,312.0,4958.0,373.0,1961.0,154.0,2665.0,261.0,338.0,31.0,713.0,2440.0,28035.0,3009.0,33410.0,4.0,1408.0,85.0,1584.0,84.0,3071.0,316.0,3539.0,26.0,1440.0,99.0,1638.0,8.0,1288.0,78.0,1383.0,39.0,3067.0,219.0,3394.0,56.0,3165.0,279.0,3580.0,163.0,3908.0,312.0,4409.0,266.0,4452.0,377.0,5260.0,355.0,3988.0,217.0,4667.0,516.0,1866.0,155.0,2617.0,500.0,435.0,73.0,1155.0,2484.0,28048.0,2641.0,33161.0,21.0,2892.0,227.0,3221.0,383.0,6186.0,650.0,7307.0,82.0,3035.0,298.0,3534.0,84.0,2821.0,221.0,3160.0,173.0,6025.0,630.0,6838.0,177.0,6036.0,682.0,6852.0,334.0,7450.0,708.0,8587.0,598.0,8841.0,837.0,10328.0,838.0,8092.0,620.0,9607.0,975.0,3821.0,413.0,5310.0,841.0,799.0,148.0,1928.0,4844.0,56023.0,5659.0,66608.0,66608.0
